Country_Code;Date;Exchange_Rate_To_Euro;Petrol_With_Taxes;Diesel_With_Taxes
;;;1000L;1000L
BE;15/01/24;1.00000;1574.44;1719.96
BE;08/01/24;1.00000;1584.06;1738.82
BE;01/01/24;1.00000;1592.93;1716.92
BE;25/12/23;1.00000;1604.86;1737.85
BE;18/12/23;1.00000;1602.54;1734.79
BE;11/12/23;1.00000;1621.82;1767.97
BE;04/12/23;1.00000;1631.34;1782.96
BE;27/11/23;1.00000;1644.97;1794.23
BE;20/11/23;1.00000;1672.16;1797.57
BE;13/11/23;1.00000;1692.06;1848.67
BE;06/11/23;1.00000;1707.30;1874.60
BE;30/10/23;1.00000;1704.31;1875.84
BE;23/10/23;1.00000;1711.15;1871.02
BE;16/10/23;1.00000;1704.43;1865.30
BE;09/10/23;1.00000;1767.68;1934.82
BE;02/10/23;1.00000;1823.60;1944.64
BE;25/09/23;1.00000;1847.00;1955.88
BE;18/09/23;1.00000;1804.29;1945.33
BE;11/09/23;1.00000;1861.47;1920.34
BE;04/09/23;1.00000;1817.23;1891.92
BE;28/08/23;1.00000;1814.24;1861.79
BE;21/08/23;1.00000;1785.06;1856.09
BE;14/08/23;1.00000;1840.39;1887.36
BE;07/08/23;1.00000;1798.67;1831.52
BE;31/07/23;1.00000;1775.07;1775.75
BE;24/07/23;1.00000;1708.33;1719.69
BE;17/07/23;1.00000;1706.84;1714.57
BE;10/07/23;1.00000;1734.29;1722.00
BE;03/07/23;1.00000;1710.20;1698.04
BE;26/06/23;1.00000;1707.96;1679.10
BE;19/06/23;1.00000;1713.06;1672.40
BE;12/06/23;1.00000;1760.06;1713.70
BE;05/06/23;1.00000;1729.70;1688.53
BE;29/05/23;1.00000;1712.80;1651.65
BE;22/05/23;1.00000;1680.72;1664.37
BE;15/05/23;1.00000;1697.59;1662.80
BE;08/05/23;1.00000;1703.61;1669.70
BE;01/05/23;1.00000;1711.64;1691.88
BE;24/04/23;1.00000;1744.96;1716.27
BE;17/04/23;1.00000;1783.37;1757.20
BE;10/04/23;1.00000;1762.93;1753.59
BE;03/04/23;1.00000;1690.99;1690.30
BE;27/03/23;1.00000;1661.62;1706.68
BE;20/03/23;1.00000;1714.39;1706.50
BE;13/03/23;1.00000;1732.44;1723.80
BE;06/03/23;1.00000;1696.50;1706.47
BE;27/02/23;1.00000;1711.97;1684.33
BE;20/02/23;1.00000;1713.68;1696.13
BE;13/02/23;1.00000;1697.01;1690.39
BE;06/02/23;1.00000;1724.71;1722.17
BE;30/01/23;1.00000;1728.38;1748.45
BE;23/01/23;1.00000;1691.97;1733.40
BE;16/01/23;1.00000;1660.93;1715.31
BE;09/01/23;1.00000;1691.98;1726.78
BE;02/01/23;1.00000;1687.00;1757.00
BE;26/12/22;1.00000;1634.35;1736.59
BE;19/12/22;1.00000;1621.38;1722.54
BE;12/12/22;1.00000;1686.64;1743.10
BE;05/12/22;1.00000;1712.18;1789.69
BE;28/11/22;1.00000;1754.20;1812.61
BE;21/11/22;1.00000;1832.56;1880.29
BE;14/11/22;1.00000;1920.91;2003.10
BE;07/11/22;1.00000;1837.34;2034.50
BE;31/10/22;1.00000;1830.53;2122.63
BE;24/10/22;1.00000;1837.05;2149.16
BE;17/10/22;1.00000;1806.63;2144.71
BE;10/10/22;1.00000;1749.56;1975.12
BE;03/10/22;1.00000;1690.83;1906.62
BE;26/09/22;1.00000;1689.46;1885.40
BE;19/09/22;1.00000;1675.19;1934.36
BE;12/09/22;1.00000;1654.66;1990.61
BE;05/09/22;1.00000;1688.58;2021.06
BE;29/08/22;1.00000;1733.50;2005.34
BE;22/08/22;1.00000;1718.91;1892.03
BE;15/08/22;1.00000;1741.73;1881.04
BE;08/08/22;1.00000;1779.98;1914.78
BE;01/08/22;1.00000;1846.62;1975.83
BE;25/07/22;1.00000;1875.28;2000.24
BE;18/07/22;1.00000;1910.24;2026.63
BE;11/07/22;1.00000;1990.69;2043.71
BE;04/07/22;1.00000;2006.43;2111.17
BE;27/06/22;1.00000;2042.99;2178.01
BE;20/06/22;1.00000;2110.83;2173.44
BE;13/06/22;1.00000;2107.04;2112.05
BE;06/06/22;1.00000;2023.38;1984.20
BE;30/05/22;1.00000;1947.38;1909.37
BE;23/05/22;1.00000;1967.77;1944.09
BE;16/05/22;1.00000;1925.81;1998.94
BE;09/05/22;1.00000;1875.58;2040.87
BE;02/05/22;1.00000;1821.53;1989.82
BE;25/04/22;1.00000;1763.28;1942.72
BE;11/04/22;1.00000;1787.28;1894.73
BE;04/04/22;1.00000;1807.61;2018.78
BE;28/03/22;1.00000;1760.16;1961.74
BE;21/03/22;1.00000;1753.10;1878.20
BE;14/03/22;1.00000;1950.63;2142.89
BE;07/03/22;1.00000;1811.70;1924.27
BE;28/02/22;1.00000;1734.85;1783.00
BE;21/02/22;1.00000;1701.00;1740.33
BE;14/02/22;1.00000;1684.60;1748.31
BE;07/02/22;1.00000;1673.25;1730.47
BE;31/01/22;1.00000;1656.86;1708.40
BE;24/01/22;1.00000;1648.27;1690.76
BE;17/01/22;1.00000;1625.36;1684.70
BE;10/01/22;1.00000;1646.84;1668.29
BE;03/01/22;1.00000;1640.00;1654.00
BE;20/12/21;1.00000;1615.11;1626.98
BE;13/12/21;1.00000;1561.35;1607.16
BE;06/12/21;1.00000;1581.77;1604.36
BE;29/11/21;1.00000;1641.65;1668.75
BE;22/11/21;1.00000;1717.54;1682.59
BE;15/11/21;1.00000;1686.24;1684.64
BE;08/11/21;1.00000;1673.09;1676.84
BE;01/11/21;1.00000;1644.03;1657.96
BE;25/10/21;1.00000;1629.34;1642.39
BE;18/10/21;1.00000;1621.78;1644.25
BE;11/10/21;1.00000;1568.58;1593.35
BE;04/10/21;1.00000;1543.78;1570.99
BE;27/09/21;1.00000;1522.57;1529.19
BE;20/09/21;1.00000;1535.96;1527.55
BE;13/09/21;1.00000;1511.23;1505.40
BE;06/09/21;1.00000;1510.83;1500.74
BE;30/08/21;1.00000;1499.32;1498.31
BE;23/08/21;1.00000;1533.33;1511.43
BE;16/08/21;1.00000;1503.96;1497.78
BE;09/08/21;1.00000;1514.40;1516.33
BE;02/08/21;1.00000;1523.50;1515.87
BE;26/07/21;1.00000;1512.78;1502.90
BE;19/07/21;1.00000;1492.92;1488.52
BE;12/07/21;1.00000;1491.16;1494.32
BE;05/07/21;1.00000;1498.74;1514.72
BE;28/06/21;1.00000;1498.74;1514.72
BE;21/06/21;1.00000;1481.93;1502.75
BE;14/06/21;1.00000;1461.30;1457.76
BE;07/06/21;1.00000;1435.60;1452.78
BE;31/05/21;1.00000;1443.90;1448.14
BE;24/05/21;1.00000;1478.78;1487.33
BE;17/05/21;1.00000;1495.31;1489.27
BE;10/05/21;1.00000;1447.15;1436.65
BE;03/05/21;1.00000;1416.50;1410.40
BE;26/04/21;1.00000;1420.53;1419.90
BE;19/04/21;1.00000;1414.88;1421.90
BE;12/04/21;1.00000;1405.53;1421.05
BE;29/03/21;1.00000;1412.17;1421.05
BE;22/03/21;1.00000;1427.78;1421.88
BE;15/03/21;1.00000;1437.00;1439.39
BE;08/03/21;1.00000;1406.89;1422.97
BE;01/03/21;1.00000;1360.58;1395.93
BE;22/02/21;1.00000;1355.29;1409.06
BE;15/02/21;1.00000;1345.77;1402.48
BE;08/02/21;1.00000;1338.72;1370.39
BE;01/02/21;1.00000;1307.79;1341.91
BE;25/01/21;1.00000;1314.20;1350.60
BE;18/01/21;1.00000;1295.30;1324.10
BE;11/01/21;1.00000;1265.80;1309.00
BE;21/12/20;1.00000;1301.00;1323.00
BE;14/12/20;1.00000;1281.00;1304.70
BE;07/12/20;1.00000;1262.00;1290.50
BE;30/11/20;1.00000;1267.60;1298.00
BE;23/11/20;1.00000;1265.40;1290.30
BE;16/11/20;1.00000;1240.60;1274.40
BE;09/11/20;1.00000;1235.40;1238.80
BE;02/11/20;1.00000;1265.30;1254.80
BE;26/10/20;1.00000;1296.80;1287.30
BE;19/10/20;1.00000;1305.20;1269.30
BE;12/10/20;1.00000;1290.80;1250.90
BE;05/10/20;1.00000;1296.80;1229.40
BE;28/09/20;1.00000;1316.60;1243.70
BE;21/09/20;1.00000;1288.40;1231.60
BE;14/09/20;1.00000;1323.80;1270.70
BE;07/09/20;1.00000;1348.00;1305.10
BE;31/08/20;1.00000;1320.50;1290.80
BE;24/08/20;1.00000;1312.20;1295.50
BE;17/08/20;1.00000;1308.10;1301.00
BE;10/08/20;1.00000;1303.10;1313.42
BE;03/08/20;1.00000;1311.50;1301.60
BE;27/07/20;1.00000;1296.40;1304.30
BE;20/07/20;1.00000;1266.40;1267.70
BE;13/07/20;1.00000;1306.10;1310.80
BE;06/07/20;1.00000;1281.40;1268.20
BE;29/06/20;1.00000;1245.60;1258.40
BE;22/06/20;1.00000;1248.87;1225.22
BE;15/06/20;1.00000;1227.90;1238.30
BE;08/06/20;1.00000;1239.10;1242.90
BE;01/06/20;1.00000;1216.30;1232.50
BE;25/05/20;1.00000;1190.30;1198.40
BE;18/05/20;1.00000;1170.50;1171.50
BE;11/05/20;1.00000;1155.60;1162.50
BE;04/05/20;1.00000;1145.20;1181.00
BE;27/04/20;1.00000;1103.45;1164.17
BE;20/04/20;1.00000;1342.00;1223.00
BE;06/04/20;1.00000;1095.80;1209.10
BE;30/03/20;1.00000;1058.10;1219.40
BE;23/03/20;1.00000;1076.10;1209.10
BE;16/03/20;1.00000;1210.30;1252.50
BE;09/03/20;1.00000;1320.40;1352.30
BE;02/03/20;1.00000;1377.00;1417.20
BE;24/02/20;1.00000;1375.60;1415.00
BE;17/02/20;1.00000;1363.40;1397.50
BE;10/02/20;1.00000;1390.40;1406.30
BE;03/02/20;1.00000;1354.50;1397.50
BE;27/01/20;1.00000;1406.90;1461.80
BE;20/01/20;1.00000;1412.76;1489.50
BE;13/01/20;1.00000;1414.80;1490.50
BE;06/01/20;1.00000;1445.90;1520.50
BE;16/12/19;1.00000;1407.60;1458.00
BE;09/12/19;1.00000;1391.80;1425.10
BE;02/12/19;1.00000;1373.10;1427.00
BE;25/11/19;1.00000;1387.70;1435.70
BE;18/11/19;1.00000;1388.00;1429.50
BE;11/11/19;1.00000;1381.70;1449.30
BE;04/11/19;1.00000;1381.70;1449.30
BE;28/10/19;1.00000;1364.00;1425.40
BE;21/10/19;1.00000;1367.40;1424.30
BE;14/10/19;1.00000;1402.60;1439.80
BE;07/10/19;1.00000;1409.90;1421.70
BE;30/09/19;1.00000;1401.00;1442.30
BE;23/09/19;1.00000;1387.30;1449.50
BE;16/09/19;1.00000;1366.50;1426.80
BE;09/09/19;1.00000;1361.70;1482.30
BE;02/09/19;1.00000;1365.70;1417.20
BE;26/08/19;1.00000;1380.70;1416.70
BE;19/08/19;1.00000;1437.80;1469.70
BE;12/08/19;1.00000;1362.10;1360.40
BE;05/08/19;1.00000;1441.60;1450.50
BE;29/07/19;1.00000;1443.90;1447.10
BE;22/07/19;1.00000;1444.80;1451.90
BE;15/07/19;1.00000;1431.60;1419.30
BE;08/07/19;1.00000;1420.40;1426.40
BE;01/07/19;1.00000;1395.20;1430.00
BE;24/06/19;1.00000;1416.10;1424.80
BE;17/06/19;1.00000;1379.20;1392.10
BE;10/06/19;1.00000;1424.50;1402.90
BE;03/06/19;1.00000;1528.20;1515.20
BE;27/05/19;1.00000;1495.50;1465.20
BE;20/05/19;1.00000;1438.70;1458.70
BE;13/05/19;1.00000;1476.70;1479.80
BE;06/05/19;1.00000;1558.00;1557.80
BE;29/04/19;1.00000;1479.30;1486.10
