Country_Code;Date;Exchange_Rate_To_Euro;Petrol_With_Taxes;Diesel_With_Taxes
;;;1000L;1000L
CZ;15/01/24;0.04046;1459.62;1464.23
CZ;08/01/24;0.04084;1470.76;1478.56
CZ;01/01/24;0.04045;1452.03;1473.51
CZ;25/12/23;0.04067;1457.56;1478.87
CZ;18/12/23;0.04074;1465.67;1488.16
CZ;11/12/23;0.04104;1501.33;1515.49
CZ;04/12/23;0.04099;1512.75;1537.10
CZ;27/11/23;0.04104;1539.36;1552.41
CZ;20/11/23;0.04075;1548.63;1567.17
CZ;13/11/23;0.04068;1560.35;1591.84
CZ;06/11/23;0.04091;1588.72;1611.79
CZ;30/10/23;0.04072;1581.63;1608.62
CZ;23/10/23;0.04058;1586.24;1608.28
CZ;16/10/23;0.04054;1601.61;1617.50
CZ;09/10/23;0.04085;1638.64;1649.75
CZ;02/10/23;0.04088;1652.78;1649.80
CZ;25/09/23;0.04102;1659.80;1655.41
CZ;18/09/23;0.04097;1651.72;1636.28
CZ;11/09/23;0.04080;1625.96;1568.75
CZ;04/09/23;0.04148;1649.37;1582.34
CZ;28/08/23;0.04143;1640.40;1572.13
CZ;21/08/23;0.04163;1640.38;1572.44
CZ;14/08/23;0.04160;1637.41;1556.70
CZ;07/08/23;0.04128;1615.75;1504.33
CZ;31/07/23;0.04184;1589.41;1394.69
CZ;24/07/23;0.04143;1544.80;1359.50
CZ;17/07/23;0.04209;1568.38;1378.25
CZ;10/07/23;0.04194;1562.14;1363.21
CZ;03/07/23;0.04217;1571.97;1373.37
CZ;26/06/23;0.04229;1574.95;1371.26
CZ;19/06/23;0.04206;1561.11;1336.78
CZ;12/06/23;0.04209;1550.07;1321.65
CZ;05/06/23;0.04242;1558.56;1328.21
CZ;29/05/23;0.04221;1538.18;1311.78
CZ;22/05/23;0.04224;1536.07;1315.42
CZ;15/05/23;0.04242;1546.62;1333.80
CZ;08/05/23;0.04272;1570.65;1367.79
CZ;01/05/23;0.04255;1585.23;1400.26
CZ;24/04/23;0.04266;1597.76;1434.70
CZ;17/04/23;0.04284;1620.48;1470.94
CZ;10/04/23;0.04272;1604.00;1479.43
CZ;03/04/23;0.04266;1578.50;1493.86
CZ;27/03/23;0.04214;1557.39;1484.58
CZ;20/03/23;0.04169;1546.23;1482.28
CZ;13/03/23;0.04211;1566.60;1518.17
CZ;06/03/23;0.04247;1586.54;1538.29
CZ;27/02/23;0.04234;1585.46;1539.10
CZ;20/02/23;0.04221;1589.16;1542.99
CZ;13/02/23;0.04212;1584.94;1550.07
CZ;06/02/23;0.04194;1588.89;1579.96
CZ;30/01/23;0.04191;1579.10;1575.96
CZ;23/01/23;0.04187;1535.99;1560.45
CZ;16/01/23;0.04167;1507.61;1555.32
CZ;09/01/23;0.04168;1510.75;1560.82
CZ;02/01/23;0.04136;1500.95;1563.58
CZ;26/12/22;0.04124;1495.86;1559.53
CZ;19/12/22;0.04127;1503.53;1564.15
CZ;12/12/22;0.04114;1522.20;1577.20
CZ;05/12/22;0.04107;1583.92;1645.07
CZ;28/11/22;0.04107;1635.12;1702.89
CZ;21/11/22;0.04106;1677.53;1777.14
CZ;14/11/22;0.04117;1718.97;1854.54
CZ;07/11/22;0.04115;1730.42;1905.19
CZ;31/10/22;0.04084;1733.30;1926.62
CZ;24/10/22;0.04085;1752.39;1934.16
CZ;17/10/22;0.04071;1734.43;1892.44
CZ;10/10/22;0.04078;1671.95;1807.68
CZ;03/10/22;0.04077;1558.81;1751.25
CZ;26/09/22;0.04058;1532.39;1749.15
CZ;19/09/22;0.04083;1573.20;1803.99
CZ;12/09/22;0.04074;1597.25;1822.99
CZ;05/09/22;0.04061;1643.25;1847.17
CZ;29/08/22;0.04066;1648.10;1828.20
CZ;22/08/22;0.04057;1635.31;1718.43
CZ;15/08/22;0.04088;1668.60;1738.23
CZ;08/08/22;0.04079;1746.28;1795.39
CZ;01/08/22;0.04060;1821.06;1843.06
CZ;25/07/22;0.04076;1881.27;1894.52
CZ;18/07/22;0.04080;1925.09;1925.21
CZ;11/07/22;0.04066;1936.65;1939.74
CZ;04/07/22;0.04041;1935.34;1940.72
CZ;27/06/22;0.04045;1934.03;1949.28
CZ;20/06/22;0.04044;1934.29;1934.41
CZ;13/06/22;0.04045;1914.33;1885.74
CZ;06/06/22;0.04046;1857.25;1833.74
CZ;30/05/22;0.04047;1883.70;1862.74
CZ;23/05/22;0.04066;1872.77;1876.19
CZ;16/05/22;0.04047;1811.13;1871.15
CZ;09/05/22;0.03991;1762.36;1851.33
CZ;02/05/22;0.04053;1739.01;1829.84
CZ;25/04/22;0.04095;1742.98;1830.58
CZ;11/04/22;0.04093;1754.51;1858.69
CZ;04/04/22;0.04112;1813.98;1926.11
CZ;28/03/22;0.04057;1798.62;1917.00
CZ;21/03/22;0.04051;1775.76;1858.97
CZ;14/03/22;0.04018;1851.59;1976.98
CZ;07/03/22;0.03909;1703.21;1798.90
CZ;28/02/22;0.04000;1554.47;1527.54
CZ;21/02/22;0.04108;1536.37;1497.88
CZ;14/02/22;0.04077;1513.88;1475.03
CZ;07/02/22;0.04128;1518.66;1481.01
CZ;31/01/22;0.04103;1492.94;1454.25
CZ;24/01/22;0.04077;1475.21;1436.40
CZ;17/01/22;0.04087;1471.82;1432.30
CZ;10/01/22;0.04106;1474.69;1434.62
CZ;03/01/22;0.04029;1445.77;1410.55
CZ;20/12/21;0.03963;1435.29;1398.59
CZ;13/12/21;0.03937;1431.05;1393.33
CZ;06/12/21;0.03934;1444.04;1404.11
CZ;29/11/21;0.03895;1443.26;1397.06
CZ;22/11/21;0.03941;1465.97;1420.09
CZ;15/11/21;0.03966;1474.36;1432.68
CZ;08/11/21;0.03960;1470.66;1429.39
CZ;01/11/21;0.03901;1436.22;1400.80
CZ;25/10/21;0.03886;1415.87;1379.23
CZ;18/10/21;0.03929;1412.64;1366.01
CZ;11/10/21;0.03937;1390.53;1337.30
CZ;04/10/21;0.03949;1355.69;1292.30
CZ;27/09/21;0.03930;1334.55;1260.31
CZ;20/09/21;0.03932;1330.73;1251.02
CZ;13/09/21;0.03945;1333.32;1252.29
CZ;06/09/21;0.03937;1330.50;1244.60
CZ;30/08/21;0.03911;1321.56;1236.84
CZ;23/08/21;0.03919;1324.45;1240.14
CZ;16/08/21;0.03933;1329.14;1244.03
CZ;09/08/21;0.03938;1330.90;1245.91
CZ;02/08/21;0.03925;1321.17;1243.29
CZ;26/07/21;0.03902;1312.73;1235.32
CZ;19/07/21;0.03905;1311.42;1235.27
CZ;12/07/21;0.03888;1300.51;1225.79
CZ;05/07/21;0.03908;1279.10;1206.71
CZ;28/06/21;0.03922;1283.46;1210.83
CZ;21/06/21;0.03911;1271.66;1197.23
CZ;14/06/21;0.03934;1272.01;1195.93
CZ;07/06/21;0.03937;1271.42;1190.94
CZ;31/05/21;0.03929;1264.16;1181.94
CZ;24/05/21;0.03933;1265.42;1183.68
CZ;17/05/21;0.03922;1258.84;1179.35
CZ;10/05/21;0.03908;1234.77;1159.55
CZ;03/05/21;0.03880;1226.05;1151.36
CZ;26/04/21;0.03875;1223.66;1149.42
CZ;19/04/21;0.03861;1217.62;1145.16
CZ;12/04/21;0.03842;1210.40;1139.87
CZ;29/03/21;0.03835;1201.50;1139.69
CZ;22/03/21;0.03835;1196.09;1136.49
CZ;15/03/21;0.03818;1171.80;1121.52
CZ;08/03/21;0.03785;1128.59;1086.19
CZ;01/03/21;0.03833;1123.97;1083.53
CZ;22/02/21;0.03853;1113.97;1075.52
CZ;15/02/21;0.03894;1119.77;1083.76
CZ;08/02/21;0.03885;1110.69;1076.69
