Country_Code;Date;Exchange_Rate_To_Euro;Petrol_With_Taxes;Diesel_With_Taxes
;;;1000L;1000L
ES;15/01/24;1.00000;1535.20;1483.88
ES;08/01/24;1.00000;1535.92;1488.02
ES;01/01/24;1.00000;1534.59;1493.65
ES;25/12/23;1.00000;1531.95;1492.96
ES;18/12/23;1.00000;1536.91;1501.66
ES;11/12/23;1.00000;1557.87;1526.59
ES;04/12/23;1.00000;1572.08;1543.08
ES;27/11/23;1.00000;1585.63;1558.59
ES;20/11/23;1.00000;1600.01;1577.08
ES;13/11/23;1.00000;1619.53;1607.09
ES;06/11/23;1.00000;1646.60;1640.81
ES;30/10/23;1.00000;1652.11;1645.78
ES;23/10/23;1.00000;1662.87;1654.07
ES;16/10/23;1.00000;1679.50;1656.88
ES;09/10/23;1.00000;1719.39;1682.77
ES;02/10/23;1.00000;1751.96;1687.70
ES;25/09/23;1.00000;1759.89;1685.91
ES;18/09/23;1.00000;1751.50;1668.26
ES;11/09/23;1.00000;1735.25;1634.15
ES;04/09/23;1.00000;1731.13;1622.82
ES;28/08/23;1.00000;1721.04;1612.26
ES;21/08/23;1.00000;1709.72;1601.91
ES;14/08/23;1.00000;1692.03;1586.19
ES;07/08/23;1.00000;1680.28;1552.66
ES;31/07/23;1.00000;1650.50;1501.79
ES;24/07/23;1.00000;1615.01;1465.31
ES;17/07/23;1.00000;1602.42;1453.48
ES;10/07/23;1.00000;1593.71;1439.65
ES;03/07/23;1.00000;1591.69;1437.57
ES;26/06/23;1.00000;1598.24;1441.39
ES;19/06/23;1.00000;1596.64;1427.15
ES;12/06/23;1.00000;1594.27;1424.16
ES;05/06/23;1.00000;1588.27;1417.19
ES;29/05/23;1.00000;1584.99;1415.84
ES;22/05/23;1.00000;1576.49;1409.10
ES;15/05/23;1.00000;1579.69;1411.99
ES;08/05/23;1.00000;1599.31;1433.72
ES;01/05/23;1.00000;1622.36;1464.69
ES;24/04/23;1.00000;1641.85;1496.46
ES;17/04/23;1.00000;1651.29;1519.75
ES;10/04/23;1.00000;1640.56;1523.72
ES;03/04/23;1.00000;1631.02;1529.96
ES;27/03/23;1.00000;1627.57;1545.89
ES;20/03/23;1.00000;1635.90;1571.04
ES;13/03/23;1.00000;1644.46;1592.66
ES;06/03/23;1.00000;1635.67;1588.80
ES;27/02/23;1.00000;1632.20;1589.10
ES;20/02/23;1.00000;1636.62;1611.40
ES;13/02/23;1.00000;1633.59;1628.75
ES;06/02/23;1.00000;1655.31;1677.42
ES;30/01/23;1.00000;1660.86;1704.04
ES;23/01/23;1.00000;1636.78;1688.31
ES;16/01/23;1.00000;1619.33;1679.08
ES;09/01/23;1.00000;1616.35;1681.94
ES;02/01/23;1.00000;1583.84;1660.81
ES;26/12/22;1.00000;1565.40;1643.35
ES;19/12/22;1.00000;1590.66;1661.75
ES;12/12/22;1.00000;1642.18;1710.97
ES;05/12/22;1.00000;1688.00;1763.96
ES;28/11/22;1.00000;1730.54;1821.57
ES;21/11/22;1.00000;1764.66;1876.78
ES;14/11/22;1.00000;1784.84;1939.90
ES;07/11/22;1.00000;1771.32;1963.98
ES;31/10/22;1.00000;1759.65;1971.43
ES;24/10/22;1.00000;1763.29;1972.90
ES;17/10/22;1.00000;1756.63;1949.20
ES;10/10/22;1.00000;1711.01;1856.60
ES;03/10/22;1.00000;1676.48;1808.35
ES;26/09/22;1.00000;1680.99;1822.01
ES;19/09/22;1.00000;1708.99;1867.99
ES;12/09/22;1.00000;1748.56;1905.73
ES;05/09/22;1.00000;1779.60;1921.21
ES;29/08/22;1.00000;1794.16;1882.55
ES;22/08/22;1.00000;1786.97;1816.15
ES;15/08/22;1.00000;1797.57;1806.08
ES;08/08/22;1.00000;1860.78;1854.26
ES;01/08/22;1.00000;1902.56;1893.32
ES;25/07/22;1.00000;1954.71;1933.06
ES;18/07/22;1.00000;2026.03;1971.61
ES;11/07/22;1.00000;2072.79;2022.50
ES;04/07/22;1.00000;2112.93;2076.49
ES;27/06/22;1.00000;2128.58;2100.48
ES;20/06/22;1.00000;2141.58;2076.53
ES;13/06/22;1.00000;2117.09;2003.73
ES;06/06/22;1.00000;2048.58;1916.90
ES;30/05/22;1.00000;1968.44;1852.21
ES;23/05/22;1.00000;1940.36;1867.03
ES;16/05/22;1.00000;1897.84;1887.07
ES;09/05/22;1.00000;1878.26;1911.49
ES;02/05/22;1.00000;1837.22;1872.79
ES;25/04/22;1.00000;1817.07;1847.41
ES;11/04/22;1.00000;1790.70;1813.87
ES;04/04/22;1.00000;1813.01;1847.03
ES;28/03/22;1.00000;1818.20;1837.19
ES;21/03/22;1.00000;1813.41;1797.63
ES;14/03/22;1.00000;1844.63;1817.36
ES;07/03/22;1.00000;1679.83;1581.01
ES;28/02/22;1.00000;1608.84;1496.79
ES;21/02/22;1.00000;1591.66;1479.49
ES;14/02/22;1.00000;1575.46;1462.70
ES;07/02/22;1.00000;1558.88;1444.36
ES;31/01/22;1.00000;1538.04;1422.17
ES;24/01/22;1.00000;1520.46;1403.82
ES;17/01/22;1.00000;1502.33;1380.66
ES;10/01/22;1.00000;1489.51;1359.84
ES;03/01/22;1.00000;1479.63;1347.15
ES;20/12/21;1.00000;1476.46;1344.36
ES;13/12/21;1.00000;1479.53;1346.64
ES;06/12/21;1.00000;1488.04;1354.78
ES;29/11/21;1.00000;1509.28;1376.55
ES;22/11/21;1.00000;1512.73;1380.57
ES;15/11/21;1.00000;1513.03;1385.64
ES;08/11/21;1.00000;1510.00;1384.35
ES;01/11/21;1.00000;1505.85;1381.95
ES;25/10/21;1.00000;1497.20;1373.56
ES;18/10/21;1.00000;1483.70;1357.86
ES;11/10/21;1.00000;1466.51;1335.29
ES;04/10/21;1.00000;1448.15;1309.47
ES;27/09/21;1.00000;1437.48;1290.97
ES;20/09/21;1.00000;1436.87;1279.86
ES;13/09/21;1.00000;1428.71;1270.75
ES;06/09/21;1.00000;1421.23;1265.64
ES;30/08/21;1.00000;1414.46;1258.97
ES;23/08/21;1.00000;1415.22;1260.41
ES;16/08/21;1.00000;1417.89;1266.15
ES;09/08/21;1.00000;1419.89;1270.44
ES;02/08/21;1.00000;1416.20;1269.75
ES;26/07/21;1.00000;1408.17;1263.72
ES;19/07/21;1.00000;1408.72;1267.52
ES;12/07/21;1.00000;1400.89;1262.57
ES;05/07/21;1.00000;1391.25;1253.82
ES;28/06/21;1.00000;1383.00;1246.55
ES;21/06/21;1.00000;1374.15;1238.17
ES;14/06/21;1.00000;1367.48;1231.68
ES;07/06/21;1.00000;1358.64;1221.29
ES;31/05/21;1.00000;1351.38;1212.41
ES;24/05/21;1.00000;1350.68;1210.66
ES;17/05/21;1.00000;1350.83;1208.00
ES;10/05/21;1.00000;1344.14;1199.80
ES;03/05/21;1.00000;1331.94;1188.29
ES;26/04/21;1.00000;1326.45;1183.48
ES;19/04/21;1.00000;1319.90;1179.82
ES;12/04/21;1.00000;1315.43;1179.02
