Country_Code;Date;Exchange_Rate_To_Euro;Petrol_With_Taxes;Diesel_With_Taxes
;;;1000L;1000L
FR;15/01/24;1.00000;1798.73;1722.72
FR;08/01/24;1.00000;1806.12;1727.80
FR;01/01/24;1.00000;1805.74;1749.15
FR;25/12/23;1.00000;1799.04;1742.23
FR;18/12/23;1.00000;1792.37;1734.02
FR;11/12/23;1.00000;1798.49;1747.05
FR;04/12/23;1.00000;1812.99;1783.21
FR;27/11/23;1.00000;1809.78;1781.18
FR;20/11/23;1.00000;1843.52;1801.10
FR;13/11/23;1.00000;1840.43;1807.71
FR;06/11/23;1.00000;1859.30;1846.63
FR;30/10/23;1.00000;1846.11;1854.22
FR;23/10/23;1.00000;1850.61;1881.77
FR;16/10/23;1.00000;1835.45;1848.00
FR;09/10/23;1.00000;1881.02;1892.11
FR;02/10/23;1.00000;1926.48;1912.11
FR;25/09/23;1.00000;1971.55;1940.97
FR;18/09/23;1.00000;1967.41;1929.38
FR;11/09/23;1.00000;1961.75;1881.67
FR;04/09/23;1.00000;1956.96;1858.69
FR;28/08/23;1.00000;1933.11;1823.99
FR;21/08/23;1.00000;1932.87;1833.64
FR;14/08/23;1.00000;1912.88;1834.63
FR;07/08/23;1.00000;1910.33;1806.40
FR;31/07/23;1.00000;1893.01;1739.87
FR;24/07/23;1.00000;1846.88;1700.23
FR;17/07/23;1.00000;1835.26;1694.86
FR;10/07/23;1.00000;1812.94;1665.81
FR;03/07/23;1.00000;1825.98;1675.18
FR;26/06/23;1.00000;1870.74;1703.47
FR;19/06/23;1.00000;1872.94;1675.99
FR;12/06/23;1.00000;1878.40;1679.67
FR;05/06/23;1.00000;1871.51;1665.84
FR;29/05/23;1.00000;1876.28;1672.24
FR;22/05/23;1.00000;1850.48;1660.11
FR;15/05/23;1.00000;1855.20;1655.53
FR;08/05/23;1.00000;1871.81;1665.51
FR;01/05/23;1.00000;1910.79;1719.98
FR;24/04/23;1.00000;1941.33;1762.14
FR;17/04/23;1.00000;1961.20;1799.84
FR;10/04/23;1.00000;1949.31;1801.43
FR;03/04/23;1.00000;1936.07;1809.26
FR;27/03/23;1.00000;1921.40;1816.23
FR;20/03/23;1.00000;1912.72;1818.28
FR;13/03/23;1.00000;1916.65;1838.32
FR;06/03/23;1.00000;1885.95;1812.04
FR;27/02/23;1.00000;1897.56;1810.14
FR;20/02/23;1.00000;1907.02;1838.19
FR;13/02/23;1.00000;1903.82;1827.85
FR;06/02/23;1.00000;1929.86;1887.27
FR;30/01/23;1.00000;1933.43;1943.18
FR;23/01/23;1.00000;1900.83;1916.18
FR;16/01/23;1.00000;1857.24;1884.56
FR;09/01/23;1.00000;1851.65;1899.39
FR;02/01/23;1.00000;1678.84;1766.53
FR;26/12/22;1.00000;1655.12;1749.39
FR;19/12/22;1.00000;1660.31;1742.73
FR;12/12/22;1.00000;1693.03;1732.05
FR;05/12/22;1.00000;1733.56;1820.22
FR;28/11/22;1.00000;1756.55;1861.14
FR;21/11/22;1.00000;1782.84;1905.88
FR;14/11/22;1.00000;1685.52;1802.03
FR;07/11/22;1.00000;1679.66;1831.93
FR;31/10/22;1.00000;1672.59;1867.76
FR;24/10/22;1.00000;1704.97;1905.26
FR;17/10/22;1.00000;1726.75;1921.08
FR;10/10/22;1.00000;1644.00;1803.47
FR;03/10/22;1.00000;1573.70;1695.61
FR;26/09/22;1.00000;1547.32;1659.30
FR;19/09/22;1.00000;1554.73;1696.48
FR;12/09/22;1.00000;1568.97;1754.74
FR;05/09/22;1.00000;1618.57;1780.07
FR;29/08/22;1.00000;1779.66;1948.81
FR;22/08/22;1.00000;1770.74;1840.00
FR;15/08/22;1.00000;1779.38;1789.91
FR;08/08/22;1.00000;1836.17;1839.31
FR;01/08/22;1.00000;1844.85;1878.23
FR;25/07/22;1.00000;1923.96;1934.29
FR;18/07/22;1.00000;2000.79;1969.56
FR;11/07/22;1.00000;2028.94;1994.57
FR;04/07/22;1.00000;2082.32;2064.32
FR;27/06/22;1.00000;2086.74;2130.19
FR;20/06/22;1.00000;2128.98;2134.54
FR;13/06/22;1.00000;2130.95;2069.35
FR;06/06/22;1.00000;2101.17;1961.46
FR;30/05/22;1.00000;1962.94;1828.05
FR;23/05/22;1.00000;1972.15;1852.02
FR;16/05/22;1.00000;1892.20;1878.40
FR;09/05/22;1.00000;1865.80;1943.83
FR;02/05/22;1.00000;1802.27;1881.46
FR;25/04/22;1.00000;1790.16;1875.90
FR;11/04/22;1.00000;1792.82;1820.47
FR;04/04/22;1.00000;1832.40;1891.04
FR;28/03/22;1.00000;2004.15;2116.49
FR;21/03/22;1.00000;1973.65;1975.54
FR;14/03/22;1.00000;2082.49;2140.67
FR;07/03/22;1.00000;1888.92;1883.12
FR;28/02/22;1.00000;1813.34;1741.54
FR;21/02/22;1.00000;1792.41;1705.12
FR;14/02/22;1.00000;1781.00;1699.54
FR;07/02/22;1.00000;1765.36;1685.38
FR;31/01/22;1.00000;1746.44;1670.43
FR;24/01/22;1.00000;1724.88;1654.02
FR;17/01/22;1.00000;1706.90;1621.40
FR;10/01/22;1.00000;1682.32;1588.35
FR;03/01/22;1.00000;1629.32;1536.70
FR;20/12/21;1.00000;1634.59;1531.63
FR;13/12/21;1.00000;1632.02;1525.49
FR;06/12/21;1.00000;1633.98;1553.65
FR;29/11/21;1.00000;1652.88;1553.65
FR;22/11/21;1.00000;1665.14;1556.03
FR;15/11/21;1.00000;1658.96;1557.67
FR;08/11/21;1.00000;1662.55;1549.32
FR;01/11/21;1.00000;1659.59;1556.65
FR;25/10/21;1.00000;1648.77;1553.13
FR;18/10/21;1.00000;1656.68;1558.27
FR;11/10/21;1.00000;1633.20;1535.40
FR;04/10/21;1.00000;1604.08;1497.03
FR;27/09/21;1.00000;1587.23;1465.90
FR;20/09/21;1.00000;1589.49;1453.74
FR;13/09/21;1.00000;1585.47;1441.72
FR;06/09/21;1.00000;1568.57;1429.43
FR;30/08/21;1.00000;1569.21;1425.16
FR;23/08/21;1.00000;1577.74;1427.75
FR;16/08/21;1.00000;1585.74;1433.46
FR;09/08/21;1.00000;1587.64;1441.93
FR;02/08/21;1.00000;1572.70;1433.74
FR;26/07/21;1.00000;1582.43;1441.06
FR;19/07/21;1.00000;1584.00;1446.56
FR;12/07/21;1.00000;1568.05;1437.66
FR;05/07/21;1.00000;1565.48;1438.24
FR;28/06/21;1.00000;1548.13;1429.63
FR;21/06/21;1.00000;1536.06;1419.38
FR;14/06/21;1.00000;1531.41;1408.73
FR;07/06/21;1.00000;1528.77;1402.20
FR;31/05/21;1.00000;1520.77;1391.52
FR;24/05/21;1.00000;1523.22;1391.26
FR;17/05/21;1.00000;1523.45;1388.85
FR;10/05/21;1.00000;1530.75;1391.33
FR;03/05/21;1.00000;1516.65;1377.46
FR;26/04/21;1.00000;1520.82;1378.64
