Country_Code;Date;Exchange_Rate_To_Euro;Petrol_With_Taxes;Diesel_With_Taxes
;;;1000L;1000L
NL;15/01/24;1.00000;1911.00;1739.00
NL;08/01/24;1.00000;1904.00;1727.00
NL;01/01/24;1.00000;1895.00;1715.00
NL;25/12/23;1.00000;1888.00;1711.00
NL;18/12/23;1.00000;1887.00;1714.00
NL;11/12/23;1.00000;1909.00;1738.00
NL;04/12/23;1.00000;1935.00;1763.00
NL;27/11/23;1.00000;1951.00;1781.00
NL;20/11/23;1.00000;1969.00;1796.00
NL;13/11/23;1.00000;1997.00;1831.00
NL;06/11/23;1.00000;2009.00;1860.00
NL;30/10/23;1.00000;2009.00;1869.00
NL;23/10/23;1.00000;2028.00;1891.00
NL;16/10/23;1.00000;2031.00;1888.00
NL;09/10/23;1.00000;2058.00;1903.00
NL;02/10/23;1.00000;2104.00;1936.00
NL;25/09/23;1.00000;2129.00;1951.00
NL;18/09/23;1.00000;2139.00;1957.00
NL;11/09/23;1.00000;2105.00;1885.00
NL;04/09/23;1.00000;2107.00;1858.00
NL;28/08/23;1.00000;2083.00;1824.00
NL;21/08/23;1.00000;2080.00;1821.00
NL;14/08/23;1.00000;2080.00;1821.00
NL;07/08/23;1.00000;2070.00;1800.00
NL;31/07/23;1.00000;2052.00;1743.00
NL;24/07/23;1.00000;1998.00;1676.00
NL;17/07/23;1.00000;1984.00;1662.00
NL;10/07/23;1.00000;1971.00;1649.00
NL;03/07/23;1.00000;1976.00;1643.00
NL;26/06/23;1.00000;1828.00;1537.00
NL;19/06/23;1.00000;1829.00;1526.00
NL;12/06/23;1.00000;1829.00;1519.00
NL;05/06/23;1.00000;1810.00;1502.00
NL;29/05/23;1.00000;1819.00;1509.00
NL;22/05/23;1.00000;1807.00;1506.00
NL;15/05/23;1.00000;1802.00;1501.00
NL;08/05/23;1.00000;1791.00;1491.00
NL;01/05/23;1.00000;1821.00;1526.00
NL;24/04/23;1.00000;1834.00;1556.00
NL;17/04/23;1.00000;1878.00;1601.00
NL;10/04/23;1.00000;1881.00;1620.00
NL;03/04/23;1.00000;1842.00;1611.00
NL;27/03/23;1.00000;1800.00;1613.00
NL;20/03/23;1.00000;1780.00;1594.00
NL;13/03/23;1.00000;1831.00;1652.00
NL;06/03/23;1.00000;1830.00;1675.00
NL;27/02/23;1.00000;1802.00;1640.00
NL;20/02/23;1.00000;1816.00;1660.00
NL;13/02/23;1.00000;1817.00;1683.00
NL;06/02/23;1.00000;1835.00;1748.00
NL;30/01/23;1.00000;1864.00;1819.00
NL;23/01/23;1.00000;1839.00;1784.00
NL;16/01/23;1.00000;1813.00;1768.00
NL;09/01/23;1.00000;1803.00;1774.00
NL;02/01/23;1.00000;1795.00;1781.00
NL;26/12/22;1.00000;1757.00;1754.00
NL;19/12/22;1.00000;1742.00;1751.00
NL;12/12/22;1.00000;1730.00;1713.00
NL;05/12/22;1.00000;1799.00;1784.00
NL;28/11/22;1.00000;1808.00;1793.00
NL;21/11/22;1.00000;1849.72;1844.03
NL;14/11/22;1.00000;1944.00;1937.00
NL;07/11/22;1.00000;2029.00;2072.00
NL;31/10/22;1.00000;2012.00;2131.00
NL;24/10/22;1.00000;2024.00;2141.00
NL;17/10/22;1.00000;2032.00;2118.00
NL;10/10/22;1.00000;1972.00;2042.00
NL;03/10/22;1.00000;1938.00;1949.00
NL;26/09/22;1.00000;1928.00;1943.00
NL;19/09/22;1.00000;1945.00;1979.00
NL;12/09/22;1.00000;1988.00;2037.00
NL;05/09/22;1.00000;2011.00;2047.00
NL;29/08/22;1.00000;2048.00;2061.00
NL;22/08/22;1.00000;2038.00;1940.00
NL;15/08/22;1.00000;2061.00;1942.00
NL;08/08/22;1.00000;2085.00;1966.00
NL;01/08/22;1.00000;2131.00;1997.00
NL;25/07/22;1.00000;2143.00;1996.00
NL;18/07/22;1.00000;2190.00;2051.00
NL;11/07/22;1.00000;2251.00;2112.00
NL;04/07/22;1.00000;2306.00;2161.00
NL;27/06/22;1.00000;2336.00;2185.00
NL;20/06/22;1.00000;2356.00;2187.00
NL;13/06/22;1.00000;2369.00;2168.00
NL;06/06/22;1.00000;2368.00;2065.00
NL;30/05/22;1.00000;2250.00;1962.00
NL;23/05/22;1.00000;2225.00;1954.00
NL;16/05/22;1.00000;2179.00;1988.00
NL;09/05/22;1.00000;2153.00;2046.00
NL;02/05/22;1.00000;2112.00;2022.00
NL;25/04/22;1.00000;2088.00;1997.00
NL;11/04/22;1.00000;2085.00;2003.00
NL;04/04/22;1.00000;2112.00;2036.00
NL;28/03/22;1.00000;2331.00;2187.00
NL;21/03/22;1.00000;2288.00;2152.00
NL;14/03/22;1.00000;2336.00;2220.00
NL;07/03/22;1.00000;2236.00;1972.00
NL;28/02/22;1.00000;2099.00;1788.00
NL;21/02/22;1.00000;2055.00;1746.00
NL;14/02/22;1.00000;2048.00;1748.00
NL;07/02/22;1.00000;2028.00;1729.00
NL;31/01/22;1.00000;2010.00;1716.00
NL;24/01/22;1.00000;2002.00;1698.00
NL;17/01/22;1.00000;1985.00;1666.00
NL;10/01/22;1.00000;1979.00;1645.00
NL;03/01/22;1.00000;1976.00;1620.00
NL;20/12/21;1.00000;1963.00;1597.00
NL;13/12/21;1.00000;1975.00;1606.00
NL;06/12/21;1.00000;1979.00;1607.00
NL;29/11/21;1.00000;2007.00;1634.00
NL;22/11/21;1.00000;2019.00;1646.00
NL;15/11/21;1.00000;2011.00;1642.00
NL;08/11/21;1.00000;1992.00;1639.00
NL;01/11/21;1.00000;1978.00;1640.00
NL;25/10/21;1.00000;1966.00;1637.00
NL;18/10/21;1.00000;1959.00;1628.00
NL;11/10/21;1.00000;1935.00;1595.00
NL;04/10/21;1.00000;1862.00;1516.00
NL;27/09/21;1.00000;1856.00;1509.00
NL;20/09/21;1.00000;1859.00;1499.00
NL;13/09/21;1.00000;1850.00;1480.00
NL;06/09/21;1.00000;1845.00;1476.00
NL;30/08/21;1.00000;1840.00;1465.00
NL;23/08/21;1.00000;1830.00;1450.00
NL;16/08/21;1.00000;1841.00;1458.00
NL;09/08/21;1.00000;1843.00;1461.00
NL;02/08/21;1.00000;1844.00;1468.00
NL;26/07/21;1.00000;1829.00;1461.00
NL;19/07/21;1.00000;1840.00;1464.00
NL;12/07/21;1.00000;1836.00;1467.00
NL;05/07/21;1.00000;1828.00;1470.00
NL;28/06/21;1.00000;1815.00;1461.00
NL;21/06/21;1.00000;1800.00;1454.00
NL;14/06/21;1.00000;1785.00;1437.00
NL;07/06/21;1.00000;1786.00;1430.00
NL;31/05/21;1.00000;1767.00;1404.00
NL;24/05/21;1.00000;1769.00;1404.00
NL;17/05/21;1.00000;1781.00;1414.00
NL;10/05/21;1.00000;1779.00;1417.00
NL;03/05/21;1.00000;1771.00;1408.00
NL;26/04/21;1.00000;1763.00;1395.00
NL;19/04/21;1.00000;1752.00;1391.00
NL;12/04/21;1.00000;1735.00;1382.00
NL;29/03/21;1.00000;1727.00;1383.00
NL;22/03/21;1.00000;1737.00;1391.00
NL;15/03/21;1.00000;1747.00;1405.00
NL;08/03/21;1.00000;1721.00;1398.00
NL;01/03/21;1.00000;1709.00;1392.00
NL;22/02/21;1.00000;1697.00;1380.00
NL;15/02/21;1.00000;1674.00;1349.00
NL;08/02/21;1.00000;1667.00;1340.00
NL;01/02/21;1.00000;1635.00;1310.00
NL;25/01/21;1.00000;1627.00;1302.00
NL;18/01/21;1.00000;1632.00;1307.00
NL;11/01/21;1.00000;1612.00;1286.00
NL;21/12/20;1.00000;1561.00;1243.00
NL;14/12/20;1.00000;1554.00;1232.00
NL;07/12/20;1.00000;1544.00;1222.00
NL;30/11/20;1.00000;1546.00;1223.00
NL;23/11/20;1.00000;1528.00;1198.00
NL;16/11/20;1.00000;1529.00;1191.00
NL;09/11/20;1.00000;1512.00;1166.00
NL;02/11/20;1.00000;1520.00;1159.00
NL;26/10/20;1.00000;1547.00;1179.00
NL;19/10/20;1.00000;1565.00;1177.00
NL;12/10/20;1.00000;1574.00;1179.00
NL;05/10/20;1.00000;1566.00;1165.00
NL;28/09/20;1.00000;1561.00;1159.00
NL;21/09/20;1.00000;1568.00;1162.00
NL;14/09/20;1.00000;1558.00;1159.00
NL;07/09/20;1.00000;1572.00;1183.00
NL;31/08/20;1.00000;1577.00;1204.00
NL;24/08/20;1.00000;1569.00;1207.00
NL;17/08/20;1.00000;1572.00;1211.00
NL;10/08/20;1.00000;1558.00;1212.00
NL;03/08/20;1.00000;1550.00;1209.00
NL;27/07/20;1.00000;1561.00;1221.00
NL;20/07/20;1.00000;1557.00;1218.00
NL;13/07/20;1.00000;1569.00;1224.00
NL;06/07/20;1.00000;1565.00;1221.00
NL;29/06/20;1.00000;1565.00;1216.00
NL;22/06/20;1.00000;1560.00;1213.00
NL;15/06/20;1.00000;1535.00;1198.00
NL;08/06/20;1.00000;1518.00;1191.00
NL;01/06/20;1.00000;1510.00;1193.00
NL;25/05/20;1.00000;1507.00;1199.00
NL;18/05/20;1.00000;1483.00;1191.00
NL;11/05/20;1.00000;1466.00;1203.00
NL;04/05/20;1.00000;1461.00;1202.00
NL;27/04/20;1.00000;1458.00;1202.00
NL;20/04/20;1.00000;1469.00;1227.00
NL;06/04/20;1.00000;1477.00;1239.00
NL;30/03/20;1.00000;1502.00;1238.00
NL;23/03/20;1.00000;1548.00;1242.00
NL;16/03/20;1.00000;1551.00;1244.00
NL;09/03/20;1.00000;1622.00;1313.00
NL;02/03/20;1.00000;1651.00;1342.00
NL;24/02/20;1.00000;1682.00;1375.00
NL;17/02/20;1.00000;1660.00;1358.00
NL;10/02/20;1.00000;1662.00;1355.00
NL;03/02/20;1.00000;1669.00;1370.00
NL;27/01/20;1.00000;1684.00;1389.00
NL;20/01/20;1.00000;1697.00;1408.00
NL;13/01/20;1.00000;1714.00;1437.00
NL;06/01/20;1.00000;1716.00;1441.00
NL;16/12/19;1.00000;1667.00;1384.00
NL;09/12/19;1.00000;1655.00;1373.00
NL;02/12/19;1.00000;1663.00;1385.00
NL;25/11/19;1.00000;1663.00;1371.00
NL;18/11/19;1.00000;1652.00;1367.00
NL;11/11/19;1.00000;1668.00;1373.00
NL;04/11/19;1.00000;1651.00;1367.00
NL;28/10/19;1.00000;1645.00;1371.00
NL;21/10/19;1.00000;1635.00;1370.00
NL;14/10/19;1.00000;1637.00;1369.00
NL;07/10/19;1.00000;1658.00;1369.00
NL;30/09/19;1.00000;1655.00;1384.00
NL;23/09/19;1.00000;1676.00;1396.00
NL;16/09/19;1.00000;1638.00;1367.00
NL;09/09/19;1.00000;1634.00;1346.00
NL;02/09/19;1.00000;1634.00;1330.00
NL;26/08/19;1.00000;1642.00;1334.00
NL;19/08/19;1.00000;1643.00;1321.00
NL;12/08/19;1.00000;1649.00;1321.00
NL;05/08/19;1.00000;1681.00;1348.00
NL;29/07/19;1.00000;1671.00;1343.00
NL;22/07/19;1.00000;1681.00;1344.00
NL;15/07/19;1.00000;1690.00;1358.00
NL;08/07/19;1.00000;1659.00;1339.00
NL;01/07/19;1.00000;1658.00;1345.00
NL;24/06/19;1.00000;1634.00;1323.00
NL;17/06/19;1.00000;1651.00;1312.00
NL;10/06/19;1.00000;1677.00;1336.00
NL;03/06/19;1.00000;1717.00;1377.00
NL;27/05/19;1.00000;1733.00;1391.00
NL;20/05/19;1.00000;1736.00;1403.00
NL;13/05/19;1.00000;1709.00;1386.00
NL;06/05/19;1.00000;1722.00;1396.00
NL;29/04/19;1.00000;1727.00;1395.00
NL;15/04/19;1.00000;1714.00;1379.00
NL;08/04/19;1.00000;1688.00;1366.00
NL;01/04/19;1.00000;1665.00;1359.00
NL;25/03/19;1.00000;1633.00;1361.00
NL;18/03/19;1.00000;1622.00;1367.00
NL;11/03/19;1.00000;1609.00;1370.00
NL;04/03/19;1.00000;1598.00;1361.00
NL;25/02/19;1.00000;1609.00;1370.00
NL;18/02/19;1.00000;1589.00;1357.00
NL;11/02/19;1.00000;1562.00;1331.00
NL;04/02/19;1.00000;1555.00;1323.00
NL;28/01/19;1.00000;1566.00;1327.00
NL;21/01/19;1.00000;1562.00;1318.00
NL;14/01/19;1.00000;1556.00;1313.00
NL;07/01/19;1.00000;1519.00;1277.00
NL;17/12/18;1.00000;1516.00;1299.00
NL;10/12/18;1.00000;1522.00;1312.00
NL;03/12/18;1.00000;1538.00;1337.00
NL;26/11/18;1.00000;1559.00;1361.00
