Country_Code;Date;Exchange_Rate_To_Euro;Petrol_With_Taxes;Diesel_With_Taxes
;;;1000L;1000L
PL;15/01/24;0.22923;1430.91;1467.61
PL;08/01/24;0.23007;1443.33;1480.78
PL;01/01/24;0.23044;1452.06;1487.92
PL;25/12/23;0.23031;1463.88;1502.17
PL;18/12/23;0.23015;1462.87;1501.13
PL;11/12/23;0.23093;1480.06;1516.26
PL;04/12/23;0.23045;1487.98;1525.86
PL;27/11/23;0.22941;1488.56;1528.08
PL;20/11/23;0.22889;1493.39;1532.15
PL;13/11/23;0.22584;1478.79;1519.14
PL;06/11/23;0.22386;1467.41;1490.46
PL;30/10/23;0.22439;1440.31;1437.45
PL;23/10/23;0.22427;1371.37;1377.17
PL;16/10/23;0.22355;1353.74;1363.98
PL;09/10/23;0.21835;1323.57;1331.36
PL;02/10/23;0.21681;1307.30;1308.13
PL;25/09/23;0.21790;1313.77;1313.08
PL;18/09/23;0.21560;1331.58;1316.34
PL;11/09/23;0.21534;1390.66;1358.01
PL;04/09/23;0.22390;1489.37;1444.36
PL;28/08/23;0.22354;1485.52;1443.09
PL;21/08/23;0.22329;1472.21;1428.34
PL;14/08/23;0.22525;1480.83;1438.01
PL;07/08/23;0.22656;1488.77;1445.59
PL;31/07/23;0.22691;1485.52;1439.98
PL;24/07/23;0.22492;1453.96;1407.56
PL;17/07/23;0.22468;1449.20;1405.51
PL;10/07/23;0.22468;1441.26;1389.80
PL;03/07/23;0.22530;1447.18;1390.33
PL;26/06/23;0.22541;1463.24;1401.42
PL;19/06/23;0.22437;1457.48;1368.12
PL;12/06/23;0.22525;1465.77;1382.35
PL;05/06/23;0.22354;1456.88;1378.52
PL;29/05/23;0.22124;1443.37;1350.81
PL;22/05/23;0.22157;1437.77;1346.70
PL;15/05/23;0.22184;1441.68;1360.24
PL;08/05/23;0.21885;1437.08;1373.90
PL;01/05/23;0.21827;1454.76;1404.56
PL;24/04/23;0.21713;1467.05;1425.40
PL;17/04/23;0.21604;1474.19;1451.16
PL;10/04/23;0.21339;1450.63;1439.29
PL;03/04/23;0.21384;1443.98;1443.24
PL;27/03/23;0.21342;1415.91;1444.33
PL;20/03/23;0.21256;1421.48;1471.87
PL;13/03/23;0.21302;1432.45;1514.62
PL;06/03/23;0.21236;1427.07;1511.65
PL;27/02/23;0.21204;1425.95;1528.70
PL;20/02/23;0.21081;1423.09;1557.46
PL;13/02/23;0.20888;1395.52;1557.71
PL;06/02/23;0.21174;1417.69;1619.56
PL;30/01/23;0.21230;1420.27;1623.77
PL;23/01/23;0.21226;1392.50;1618.38
PL;16/01/23;0.21306;1392.13;1624.45
PL;09/01/23;0.21293;1399.48;1635.04
PL;02/01/23;0.21362;1402.67;1639.85
PL;26/12/22;0.21541;1409.48;1652.50
PL;19/12/22;0.21343;1393.33;1634.72
PL;12/12/22;0.21312;1400.59;1634.14
PL;05/12/22;0.21299;1389.34;1638.89
PL;28/11/22;0.21305;1392.05;1645.72
PL;21/11/22;0.21243;1398.12;1653.23
PL;14/11/22;0.21323;1410.46;1668.25
PL;07/11/22;0.21338;1412.10;1692.49
PL;31/10/22;0.21238;1457.33;1707.68
PL;24/10/22;0.20873;1432.30;1678.34
PL;17/10/22;0.20771;1422.84;1663.79
PL;10/10/22;0.20553;1395.62;1631.27
PL;03/10/22;0.20695;1328.91;1511.98
PL;26/09/22;0.21005;1325.16;1506.37
PL;19/09/22;0.21250;1327.95;1531.07
PL;12/09/22;0.21292;1363.47;1584.71
PL;05/09/22;0.21115;1376.23;1613.27
PL;29/08/22;0.21075;1385.24;1604.55
PL;22/08/22;0.20991;1371.95;1507.08
PL;15/08/22;0.21341;1461.37;1521.62
PL;08/08/22;0.21257;1455.63;1522.43
PL;01/08/22;0.21124;1533.07;1590.39
PL;25/07/22;0.21240;1547.47;1606.31
PL;18/07/22;0.20938;1558.29;1590.58
PL;11/07/22;0.20847;1556.32;1573.91
PL;04/07/22;0.21231;1634.14;1642.51
PL;27/06/22;0.21281;1664.11;1680.09
PL;20/06/22;0.21496;1702.67;1691.39
PL;13/06/22;0.21564;1707.10;1661.98
PL;06/06/22;0.21830;1728.95;1630.85
PL;30/05/22;0.21808;1634.24;1547.65
PL;23/05/22;0.21640;1585.04;1554.91
PL;16/05/22;0.21425;1538.69;1558.56
PL;09/05/22;0.21283;1454.16;1583.62
PL;02/05/22;0.21345;1422.96;1587.35
PL;25/04/22;0.21553;1399.71;1557.19
PL;11/04/22;0.21526;1384.41;1525.25
PL;04/04/22;0.21563;1420.24;1606.28
PL;28/03/22;0.21195;1411.83;1626.64
PL;21/03/22;0.21295;1405.14;1545.59
PL;14/03/22;0.21178;1461.45;1648.39
PL;07/03/22;0.20192;1312.79;1409.48
PL;28/02/22;0.21352;1242.87;1252.22
PL;21/02/22;0.22050;1191.27;1200.17
PL;14/02/22;0.22026;1168.78;1178.31
PL;07/02/22;0.22011;1151.94;1161.53
PL;31/01/22;0.21790;1282.94;1292.81
PL;24/01/22;0.21943;1273.98;1285.14
PL;17/01/22;0.22097;1262.28;1273.34
PL;10/01/22;0.22058;1260.69;1270.13
PL;03/01/22;0.21789;1246.44;1253.51
PL;20/12/21;0.21581;1241.61;1250.49
PL;13/12/21;0.21635;1294.03;1297.61
PL;06/12/21;0.21775;1308.27;1309.44
PL;29/11/21;0.21294;1287.86;1287.04
PL;22/11/21;0.21284;1284.56;1281.29
PL;15/11/21;0.21564;1294.25;1293.20
PL;08/11/21;0.21760;1302.68;1303.34
PL;01/11/21;0.21633;1294.56;1295.04
PL;25/10/21;0.21651;1285.75;1285.11
PL;18/10/21;0.21840;1286.15;1285.64
PL;11/10/21;0.21780;1276.53;1273.65
PL;04/10/21;0.21889;1279.73;1265.26
PL;27/09/21;0.21760;1269.14;1235.73
PL;20/09/21;0.21741;1264.60;1220.81
PL;13/09/21;0.21969;1274.33;1221.45
PL;06/09/21;0.22120;1268.31;1215.60
PL;30/08/21;0.21892;1255.35;1196.13
PL;23/08/21;0.21802;1251.17;1185.97
PL;16/08/21;0.21904;1256.90;1192.04
PL;09/08/21;0.21908;1257.23;1192.52
PL;02/08/21;0.21948;1259.17;1194.71
PL;26/07/21;0.21792;1248.21;1185.43
PL;19/07/21;0.21794;1248.22;1186.00
PL;12/07/21;0.21958;1231.96;1194.35
PL;05/07/21;0.22193;1237.77;1207.50
PL;28/06/21;0.22188;1228.70;1210.37
PL;21/06/21;0.22061;1190.17;1172.11
PL;14/06/21;0.22147;1183.40;1165.11
PL;07/06/21;0.22390;1187.65;1171.37
PL;31/05/21;0.22294;1180.67;1165.03
PL;24/05/21;0.22297;1182.29;1166.03
PL;17/05/21;0.22013;1165.30;1149.81
PL;10/05/21;0.21915;1160.81;1149.45
PL;03/05/21;0.21969;1163.78;1148.88
PL;26/04/21;0.21944;1162.43;1147.54
PL;19/04/21;0.21991;1164.20;1149.71
PL;12/04/21;0.22101;1169.92;1155.61
