Country_Code;Date;Exchange_Rate_To_Euro;Petrol_With_Taxes;Diesel_With_Taxes
;;;1000L;1000L
RO;15/01/24;0.20103;1362.18;1438.02
RO;08/01/24;0.20109;1372.24;1447.58
RO;01/01/24;0.20098;1328.10;1408.32
RO;25/12/23;0.20117;1330.06;1409.07
RO;18/12/23;0.20126;1331.91;1411.67
RO;11/12/23;0.20118;1333.62;1425.41
RO;04/12/23;0.20130;1344.49;1457.71
RO;27/11/23;0.20117;1345.57;1458.91
RO;20/11/23;0.20112;1354.48;1467.44
RO;13/11/23;0.20117;1375.21;1486.39
RO;06/11/23;0.20124;1401.18;1515.51
RO;30/10/23;0.20145;1407.02;1530.65
RO;23/10/23;0.20120;1413.86;1533.61
RO;16/10/23;0.20141;1418.31;1531.31
RO;09/10/23;0.20135;1431.80;1543.31
RO;02/10/23;0.20101;1458.29;1546.47
RO;25/09/23;0.20129;1467.34;1533.80
RO;18/09/23;0.20125;1456.47;1509.52
RO;11/09/23;0.20147;1447.63;1498.34
RO;04/09/23;0.20218;1446.55;1489.64
RO;28/08/23;0.20259;1450.20;1484.73
RO;21/08/23;0.20240;1449.69;1479.62
RO;14/08/23;0.20236;1428.71;1456.28
RO;07/08/23;0.20206;1394.85;1410.42
RO;31/07/23;0.20264;1383.24;1380.00
RO;24/07/23;0.20309;1358.22;1355.61
RO;17/07/23;0.20237;1353.38;1350.65
RO;10/07/23;0.20206;1351.78;1348.70
RO;03/07/23;0.20189;1350.47;1347.85
RO;26/06/23;0.20177;1354.92;1349.59
RO;19/06/23;0.20166;1370.53;1354.19
RO;12/06/23;0.20174;1364.22;1349.56
RO;05/06/23;0.20140;1341.47;1331.37
RO;29/05/23;0.20161;1335.37;1331.75
RO;22/05/23;0.20106;1322.01;1324.85
RO;15/05/23;0.20253;1357.58;1374.65
RO;08/05/23;0.20306;1359.49;1375.29
RO;01/05/23;0.20284;1340.54;1351.70
RO;24/04/23;0.20285;1334.74;1363.95
RO;17/04/23;0.20233;1417.00;1480.35
RO;10/04/23;0.20256;1412.54;1491.07
RO;03/04/23;0.20256;1351.30;1435.63
RO;27/03/23;0.20241;1350.26;1449.48
