Country_Code;Date;Exchange_Rate_To_Euro;Petrol_With_Taxes;Diesel_With_Taxes
;;;1000L;1000L
SE;15/01/24;0.08867;1562.42;1622.27
SE;08/01/24;0.08921;1561.44;1609.08
SE;01/01/24;0.09012;1558.22;1612.29
SE;25/12/23;0.09045;1668.02;2047.65
SE;18/12/23;0.08973;1652.40;2016.96
SE;11/12/23;0.08852;1621.23;1987.52
SE;04/12/23;0.08833;1666.64;2027.91
SE;27/11/23;0.08756;1648.98;2029.94
SE;20/11/23;0.08751;1645.75;2025.38
SE;13/11/23;0.08613;1692.33;2052.89
SE;06/11/23;0.08578;1730.73;2116.83
SE;30/10/23;0.08470;1749.62;2076.32
SE;23/10/23;0.08542;1743.81;2133.75
SE;16/10/23;0.08667;1716.75;2158.09
SE;09/10/23;0.08614;1729.16;2138.35
SE;02/10/23;0.08633;1800.78;2215.17
SE;25/09/23;0.08527;1828.79;2225.27
SE;18/09/23;0.08342;1797.75;2190.75
SE;11/09/23;0.08418;1798.73;2153.96
SE;04/09/23;0.08403;1796.91;2069.91
SE;28/08/23;0.08403;1819.92;2100.67
SE;21/08/23;0.08397;1792.60;2068.10
SE;14/08/23;0.08446;1770.20;2053.97
SE;07/08/23;0.08574;1765.49;2063.02
SE;31/07/23;0.08628;1790.67;2014.67
SE;24/07/23;0.08658;1725.27;1937.83
SE;17/07/23;0.08705;1709.02;1941.19
SE;10/07/23;0.08421;1653.29;1892.37
SE;03/07/23;0.08451;1648.53;1870.19
SE;26/06/23;0.08560;1675.84;1898.22
SE;19/06/23;0.08551;1703.74;1887.24
SE;12/06/23;0.08607;1731.72;1887.42
SE;05/06/23;0.08590;1702.63;1861.02
SE;29/05/23;0.08624;1700.47;1846.65
SE;22/05/23;0.08790;1710.72;1869.29
SE;15/05/23;0.08857;1693.37;1843.32
SE;08/05/23;0.08928;1688.39;1861.68
SE;01/05/23;0.08809;1734.13;1855.44
SE;24/04/23;0.08843;1745.78;1911.84
SE;17/04/23;0.08837;1814.99;1961.33
SE;10/04/23;0.08782;1800.92;1964.61
SE;03/04/23;0.08862;1818.67;1984.76
SE;27/03/23;0.08919;1779.97;1970.48
SE;20/03/23;0.08963;1757.56;1990.96
SE;13/03/23;0.08742;1764.23;1988.99
SE;06/03/23;0.08961;1789.32;2075.90
SE;27/02/23;0.09042;1777.21;2042.14
SE;20/02/23;0.09040;1785.57;2050.62
SE;13/02/23;0.08965;1781.62;2056.39
SE;06/02/23;0.08799;1735.03;2024.60
SE;30/01/23;0.08879;1806.34;2138.16
SE;23/01/23;0.08994;1811.97;2206.00
SE;16/01/23;0.08871;1755.78;2160.30
SE;09/01/23;0.08932;1703.47;2118.08
