Country_Code;Date;Exchange_Rate_To_Euro;Petrol;Diesel
;;;1000L;1000L
BE;15/01/24;1.00000;701.03;821.29
BE;08/01/24;1.00000;708.98;836.88
BE;01/01/24;1.00000;716.31;818.78
BE;25/12/23;1.00000;726.17;836.08
BE;18/12/23;1.00000;724.25;833.55
BE;11/12/23;1.00000;740.19;860.97
BE;04/12/23;1.00000;748.05;873.36
BE;27/11/23;1.00000;759.32;882.67
BE;20/11/23;1.00000;781.79;885.44
BE;13/11/23;1.00000;798.24;927.67
BE;06/11/23;1.00000;810.83;949.1
BE;30/10/23;1.00000;808.36;950.12
BE;23/10/23;1.00000;814.01;946.14
BE;16/10/23;1.00000;808.46;941.41
BE;09/10/23;1.00000;860.73;998.86
BE;02/10/23;1.00000;906.95;1,006.98
BE;25/09/23;1.00000;926.29;1,016.27
BE;18/09/23;1.00000;890.99;1,007.55
BE;11/09/23;1.00000;938.24;986.9
BE;04/09/23;1.00000;901.68;963.41
BE;28/08/23;1.00000;899.21;938.51
BE;21/08/23;1.00000;875.1;933.8
BE;14/08/23;1.00000;920.82;959.64
BE;07/08/23;1.00000;886.34;913.49
BE;31/07/23;1.00000;866.84;867.4
BE;24/07/23;1.00000;811.68;821.07
BE;17/07/23;1.00000;810.45;816.84
BE;10/07/23;1.00000;833.14;822.98
BE;03/07/23;1.00000;813.23;803.18
BE;26/06/23;1.00000;811.38;787.53
BE;19/06/23;1.00000;815.59;781.99
BE;12/06/23;1.00000;854.44;816.12
BE;05/06/23;1.00000;829.34;795.32
BE;29/05/23;1.00000;815.38;764.84
BE;22/05/23;1.00000;788.86;775.35
BE;15/05/23;1.00000;802.81;774.05
BE;08/05/23;1.00000;807.78;779.76
BE;01/05/23;1.00000;814.42;798.09
BE;24/04/23;1.00000;841.96;818.24
BE;17/04/23;1.00000;873.7;852.07
BE;10/04/23;1.00000;856.81;849.09
BE;03/04/23;1.00000;797.35;796.78
BE;27/03/23;1.00000;773.08;847.6
BE;20/03/23;1.00000;816.69;857.35
BE;13/03/23;1.00000;831.61;912.1
BE;06/03/23;1.00000;801.91;897.78
BE;27/02/23;1.00000;814.69;879.48
BE;20/02/23;1.00000;816.1;899.93
BE;13/02/23;1.00000;802.33;905.54
BE;06/02/23;1.00000;825.22;967.75
BE;30/01/23;1.00000;828.25;989.47
BE;23/01/23;1.00000;798.16;977.03
BE;16/01/23;1.00000;772.51;962.08
BE;09/01/23;1.00000;798.17;971.56
BE;02/01/23;1.00000;794.05;996.54
BE;26/12/22;1.00000;750.54;979.67
BE;19/12/22;1.00000;739.82;968.06
BE;12/12/22;1.00000;793.76;985.05
BE;05/12/22;1.00000;814.86;1,023.55
BE;28/11/22;1.00000;849.59;1,042.49
BE;21/11/22;1.00000;914.35;1,098.43
BE;14/11/22;1.00000;999.8;1,199.92
BE;07/11/22;1.00000;962.13;1,225.87
BE;31/10/22;1.00000;956.5;1,298.71
BE;24/10/22;1.00000;978.84;1,320.64
BE;17/10/22;1.00000;983.85;1,316.96
BE;10/10/22;1.00000;936.69;1,176.8
BE;03/10/22;1.00000;898.05;1,120.19
BE;26/09/22;1.00000;907.67;1,102.65
BE;19/09/22;1.00000;895.87;1,143.11
BE;12/09/22;1.00000;878.91;1,189.6
BE;05/09/22;1.00000;939.99;1,214.77
BE;29/08/22;1.00000;977.11;1,201.78
BE;22/08/22;1.00000;965.06;1,108.13
BE;15/08/22;1.00000;983.92;1,099.05
BE;08/08/22;1.00000;1,015.53;1,126.93
BE;01/08/22;1.00000;1,070.6;1,177.39
BE;25/07/22;1.00000;1,094.29;1,197.56
BE;18/07/22;1.00000;1,123.18;1,219.37
BE;11/07/22;1.00000;1,189.67;1,233.49
BE;04/07/22;1.00000;1,202.68;1,289.24
BE;27/06/22;1.00000;1,232.89;1,344.48
BE;20/06/22;1.00000;1,288.96;1,340.7
BE;13/06/22;1.00000;1,285.83;1,289.97
BE;06/06/22;1.00000;1,216.68;1,184.3
BE;30/05/22;1.00000;1,153.87;1,122.46
BE;23/05/22;1.00000;1,170.73;1,151.16
BE;16/05/22;1.00000;1,136.05;1,196.49
BE;09/05/22;1.00000;1,094.54;1,231.14
BE;02/05/22;1.00000;1,049.87;1,188.95
BE;25/04/22;1.00000;1,001.73;1,150.02
BE;11/04/22;1.00000;1,021.56;1,110.36
BE;04/04/22;1.00000;1,038.36;1,212.88
BE;28/03/22;1.00000;999.15;1,165.74
BE;21/03/22;1.00000;993.31;1,096.7
BE;14/03/22;1.00000;1,011.93;1,170.82
BE;07/03/22;1.00000;897.11;990.15
BE;28/02/22;1.00000;833.6;873.39
BE;21/02/22;1.00000;805.63;838.13
BE;14/02/22;1.00000;792.07;844.72
BE;07/02/22;1.00000;782.69;829.98
BE;31/01/22;1.00000;769.15;811.74
BE;24/01/22;1.00000;762.05;797.16
BE;17/01/22;1.00000;743.11;792.15
BE;10/01/22;1.00000;760.86;778.59
BE;03/01/22;1.00000;755.21;766.78
BE;20/12/21;1.00000;734.64;744.45
BE;13/12/21;1.00000;690.21;728.07
BE;06/12/21;1.00000;707.09;725.76
BE;29/11/21;1.00000;756.58;778.97
BE;22/11/21;1.00000;819.29;790.41
BE;15/11/21;1.00000;793.43;792.1
BE;08/11/21;1.00000;782.56;785.66
BE;01/11/21;1.00000;758.54;770.05
BE;25/10/21;1.00000;746.4;757.19
BE;18/10/21;1.00000;740.15;758.72
BE;11/10/21;1.00000;696.19;716.66
BE;04/10/21;1.00000;675.69;698.18
BE;27/09/21;1.00000;658.16;663.63
BE;20/09/21;1.00000;669.23;662.28
BE;13/09/21;1.00000;648.79;643.97
BE;06/09/21;1.00000;648.46;640.12
BE;30/08/21;1.00000;638.95;638.11
BE;23/08/21;1.00000;667.05;648.96
BE;16/08/21;1.00000;642.78;637.67
BE;09/08/21;1.00000;651.41;653.01
BE;02/08/21;1.00000;658.93;652.63
BE;26/07/21;1.00000;650.07;641.91
BE;19/07/21;1.00000;633.66;630.02
BE;12/07/21;1.00000;632.2;634.82
BE;05/07/21;1.00000;638.47;651.67
BE;28/06/21;1.00000;638.47;651.67
BE;21/06/21;1.00000;624.58;641.78
BE;14/06/21;1.00000;607.53;604.6
BE;07/06/21;1.00000;586.29;600.48
BE;31/05/21;1.00000;593.15;596.65
BE;24/05/21;1.00000;621.97;629.04
BE;17/05/21;1.00000;635.63;630.64
BE;10/05/21;1.00000;595.83;587.15
BE;03/05/21;1.00000;570.5;565.46
BE;26/04/21;1.00000;573.83;573.31
BE;19/04/21;1.00000;569.16;574.96
BE;12/04/21;1.00000;561.44;574.26
BE;29/03/21;1.00000;566.92;574.26
BE;22/03/21;1.00000;579.82;574.95
BE;15/03/21;1.00000;587.44;589.42
BE;08/03/21;1.00000;562.56;575.85
BE;01/03/21;1.00000;524.29;553.5
BE;22/02/21;1.00000;519.91;564.35
BE;15/02/21;1.00000;512.05;558.91
BE;08/02/21;1.00000;506.22;532.39
BE;01/02/21;1.00000;480.66;508.86
BE;25/01/21;1.00000;485.96;516.04
BE;18/01/21;1.00000;470.34;494.14
BE;11/01/21;1.00000;445.96;481.66
BE;21/12/20;1.00000;475.05;493.23
BE;14/12/20;1.00000;458.52;478.1
BE;07/12/20;1.00000;442.82;466.37
BE;30/11/20;1.00000;447.44;472.57
BE;23/11/20;1.00000;445.63;466.2
BE;16/11/20;1.00000;425.13;453.06
BE;09/11/20;1.00000;420.83;423.64
BE;02/11/20;1.00000;445.54;436.86
BE;26/10/20;1.00000;471.58;463.72
BE;19/10/20;1.00000;478.52;448.85
BE;12/10/20;1.00000;466.62;433.64
BE;05/10/20;1.00000;471.58;415.87
BE;28/09/20;1.00000;487.94;427.69
BE;21/09/20;1.00000;464.63;417.69
BE;14/09/20;1.00000;493.89;450.01
BE;07/09/20;1.00000;513.89;478.44
BE;31/08/20;1.00000;491.16;466.62
BE;24/08/20;1.00000;484.3;470.5
BE;17/08/20;1.00000;480.91;475.05
BE;10/08/20;1.00000;476.78;485.31
BE;03/08/20;1.00000;483.72;475.54
BE;27/07/20;1.00000;471.24;477.77
