Country_Code;Date;Exchange_Rate_To_Euro;Petrol;Diesel
;;;1000L;1000L
CZ;15/01/24;0.04046;686.75;807.5
CZ;08/01/24;0.04084;691.17;815.63
CZ;01/01/24;0.04045;680.69;815.33
CZ;25/12/23;0.04067;682.41;817.56
CZ;18/12/23;0.04074;688.14;824.48
CZ;11/12/23;0.04104;713.83;844.13
CZ;04/12/23;0.04099;723.85;862.44
CZ;27/11/23;0.04104;745.19;874.6
CZ;20/11/23;0.04075;756.66;889.74
CZ;13/11/23;0.04068;767.19;910.79
CZ;06/11/23;0.04091;787.69;924.99
CZ;30/10/23;0.04072;784.26;924.26
CZ;23/10/23;0.04058;789.95;925.42
CZ;16/10/23;0.04054;803.04;933.35
CZ;09/10/23;0.04085;829.67;956.93
CZ;02/10/23;0.04088;841;956.68
CZ;25/09/23;0.04102;845.01;959.94
CZ;18/09/23;0.04097;838.96;944.61
CZ;11/09/23;0.04080;819.86;890.5
CZ;04/09/23;0.04148;830.51;894.99
CZ;28/08/23;0.04143;823.76;887.07
CZ;21/08/23;0.04163;821.13;885.3
CZ;14/08/23;0.04160;819.08;872.6
CZ;07/08/23;0.04128;805.28;832.5
CZ;31/07/23;0.04184;776.33;799.08
CZ;24/07/23;0.04143;744.78;773.5
CZ;17/07/23;0.04209;755.71;783.36
CZ;10/07/23;0.04194;752.5;772.22
CZ;03/07/23;0.04217;757.63;778.64
CZ;26/06/23;0.04229;758.67;775.97
CZ;19/06/23;0.04206;750.18;749.41
CZ;12/06/23;0.04209;740.62;736.62
CZ;05/06/23;0.04242;743.38;739.24
CZ;29/05/23;0.04221;729.29;727.47
CZ;22/05/23;0.04224;727.16;730.23
CZ;15/05/23;0.04242;733.53;743.87
CZ;08/05/23;0.04272;749.58;769.45
CZ;01/05/23;0.04255;763.77;797.7
CZ;24/04/23;0.04266;772.66;825.19
CZ;17/04/23;0.04284;789.23;853.69
CZ;10/04/23;0.04272;777.11;861.7
CZ;03/04/23;0.04266;756.76;874.1
CZ;27/03/23;0.04214;746.06;870.86
CZ;20/03/23;0.04169;742.61;872.77
CZ;13/03/23;0.04211;754.01;898.85
CZ;06/03/23;0.04247;765.85;912.43
CZ;27/02/23;0.04234;766.67;914.22
CZ;20/02/23;0.04221;771.42;918.55
CZ;13/02/23;0.04212;768.99;925.09
CZ;06/02/23;0.04194;774.61;951.35
CZ;30/01/23;0.04191;766.93;948.31
CZ;23/01/23;0.04187;731.75;935.79
CZ;16/01/23;0.04167;710.89;933.26
CZ;09/01/23;0.04168;713.33;937.7
CZ;02/01/23;0.04136;709.35;942.69
CZ;26/12/22;0.04124;706.69;940.37
CZ;19/12/22;0.04127;712.73;943.99
CZ;12/12/22;0.04114;729.77;955.83
CZ;05/12/22;0.04107;781.74;1,012.55
CZ;28/11/22;0.04107;823.99;1,060.3
CZ;21/11/22;0.04106;859.21;1,121.77
CZ;14/11/22;0.04117;892;1,184.79
CZ;07/11/22;0.04115;901.73;1,226.81
CZ;31/10/22;0.04084;908.14;1,247.18
CZ;24/10/22;0.04085;923.79;1,253.32
CZ;17/10/22;0.04071;910.65;1,219.97
CZ;10/10/22;0.04078;858.15;1,149.34
CZ;03/10/22;0.04077;764.77;1,102.8
CZ;26/09/22;0.04058;806.21;1,102.64
CZ;19/09/22;0.04083;837.2;1,145.92
CZ;12/09/22;0.04074;858.05;1,162.35
CZ;05/09/22;0.04061;897.49;1,183.4
CZ;29/08/22;0.04066;900.94;1,167.3
CZ;22/08/22;0.04057;891.47;1,077.4
CZ;15/08/22;0.04088;915.4;1,091.09
CZ;08/08/22;0.04079;980.63;1,139.11
CZ;01/08/22;0.04060;1,044.55;1,180.09
CZ;25/07/22;0.04076;1,092.57;1,221.31
CZ;18/07/22;0.04080;1,128.27;1,246.3
CZ;11/07/22;0.04066;1,139.41;1,259.48
CZ;04/07/22;0.04041;1,141.18;1,262.41
CZ;27/06/22;0.04045;1,139.71;1,269.2
CZ;20/06/22;0.04044;1,139.99;1,256.96
CZ;13/06/22;0.04045;1,123.43;1,216.69
CZ;06/06/22;0.04046;1,076.09;1,173.59
CZ;30/05/22;0.04047;1,037.19;1,136.82
CZ;23/05/22;0.04066;1,025.67;1,146
CZ;16/05/22;0.04047;977.17;1,143.73
CZ;09/05/22;0.03991;944.03;1,132.9
CZ;02/05/22;0.04053;916.75;1,108.96
CZ;25/04/22;0.04095;914.63;1,105.39
CZ;11/04/22;0.04093;924.41;1,128.81
CZ;04/04/22;0.04112;971.2;1,182.7
CZ;28/03/22;0.04057;965.57;1,180.64
CZ;21/03/22;0.04051;947.37;1,133.23
CZ;14/03/22;0.04018;1,014.37;1,234.11
CZ;07/03/22;0.03909;905.74;1,097.78
CZ;28/02/22;0.04000;771.02;864.38
CZ;21/02/22;0.04108;742.31;829.21
CZ;14/02/22;0.04077;727.64;813.36
CZ;07/02/22;0.04128;725;813.19
CZ;31/01/22;0.04103;707;793.6
CZ;24/01/22;0.04077;695.7;781.45
CZ;17/01/22;0.04087;691.59;777.05
CZ;10/01/22;0.04106;691.59;777.13
CZ;03/01/22;0.04029;677.48;764.82
CZ;20/12/21;0.03963;677.35;761.55
CZ;13/12/21;0.03937;677.19;759.8
CZ;06/12/21;0.03934;688.33;769.02
CZ;29/11/21;0.03895;692.6;767
CZ;22/11/21;0.03941;705.49;781.48
