Country_Code;Date;Exchange_Rate_To_Euro;Petrol;Diesel
;;;1000L;1000L
ES;15/01/24;1.00000;796.07;847.35
ES;08/01/24;1.00000;796.67;850.77
ES;01/01/24;1.00000;795.57;855.42
ES;25/12/23;1.00000;793.38;854.85
ES;18/12/23;1.00000;797.48;862.04
ES;11/12/23;1.00000;814.81;882.64
ES;04/12/23;1.00000;826.55;896.27
ES;27/11/23;1.00000;837.75;909.09
ES;20/11/23;1.00000;849.63;924.37
ES;13/11/23;1.00000;865.76;949.17
ES;06/11/23;1.00000;888.14;977.04
ES;30/10/23;1.00000;892.69;981.15
ES;23/10/23;1.00000;901.58;988
ES;16/10/23;1.00000;915.33;990.32
ES;09/10/23;1.00000;948.29;1,011.72
ES;02/10/23;1.00000;975.21;1,015.79
ES;25/09/23;1.00000;981.76;1,014.31
ES;18/09/23;1.00000;974.83;999.73
ES;11/09/23;1.00000;961.4;971.54
ES;04/09/23;1.00000;958;962.17
ES;28/08/23;1.00000;949.66;953.45
ES;21/08/23;1.00000;940.3;944.89
ES;14/08/23;1.00000;925.68;931.9
ES;07/08/23;1.00000;915.97;904.19
ES;31/07/23;1.00000;891.36;862.15
ES;24/07/23;1.00000;862.03;832
ES;17/07/23;1.00000;851.62;822.22
ES;10/07/23;1.00000;844.43;810.79
ES;03/07/23;1.00000;842.76;809.07
ES;26/06/23;1.00000;848.17;812.23
ES;19/06/23;1.00000;846.85;800.46
ES;12/06/23;1.00000;844.89;797.99
ES;05/06/23;1.00000;839.93;792.23
ES;29/05/23;1.00000;837.22;791.12
ES;22/05/23;1.00000;830.19;785.55
ES;15/05/23;1.00000;832.84;787.93
ES;08/05/23;1.00000;849.05;805.89
ES;01/05/23;1.00000;868.1;831.49
ES;24/04/23;1.00000;884.21;857.74
ES;17/04/23;1.00000;892.01;876.99
ES;10/04/23;1.00000;883.14;880.27
ES;03/04/23;1.00000;875.26;885.43
ES;27/03/23;1.00000;872.41;898.6
ES;20/03/23;1.00000;879.29;919.38
ES;13/03/23;1.00000;886.37;937.25
ES;06/03/23;1.00000;879.1;934.06
ES;27/02/23;1.00000;876.24;934.31
ES;20/02/23;1.00000;879.89;952.74
ES;13/02/23;1.00000;877.38;967.07
ES;06/02/23;1.00000;895.33;1,007.3
ES;30/01/23;1.00000;899.92;1,029.3
ES;23/01/23;1.00000;880.02;1,016.3
ES;16/01/23;1.00000;865.6;1,008.67
ES;09/01/23;1.00000;863.14;1,011.03
ES;02/01/23;1.00000;836.27;993.57
ES;26/12/22;1.00000;821.03;979.14
ES;19/12/22;1.00000;841.91;994.35
ES;12/12/22;1.00000;884.48;1,035.02
ES;05/12/22;1.00000;922.35;1,078.82
ES;28/11/22;1.00000;957.51;1,126.43
ES;21/11/22;1.00000;985.71;1,172.06
ES;14/11/22;1.00000;1,002.38;1,224.22
ES;07/11/22;1.00000;991.21;1,244.12
ES;31/10/22;1.00000;981.57;1,250.28
ES;24/10/22;1.00000;984.57;1,251.5
