Country_Code;Date;Exchange_Rate_To_Euro;Petrol;Diesel
;;;1000L;1000L
FR;15/01/24;1.00000;807.64;826.7
FR;08/01/24;1.00000;813.8;830.93
FR;01/01/24;1.00000;813.48;848.62
FR;25/12/23;1.00000;807.9;842.86
FR;18/12/23;1.00000;802.34;836.02
FR;11/12/23;1.00000;807.44;846.87
FR;04/12/23;1.00000;819.53;877.01
FR;27/11/23;1.00000;816.85;875.32
FR;20/11/23;1.00000;844.97;891.92
FR;13/11/23;1.00000;842.39;897.42
FR;06/11/23;1.00000;858.12;929.86
FR;30/10/23;1.00000;847.13;936.18
FR;23/10/23;1.00000;850.88;959.14
FR;16/10/23;1.00000;838.24;931
FR;09/10/23;1.00000;876.22;967.76
FR;02/10/23;1.00000;914.1;984.42
FR;25/09/23;1.00000;951.66;1,008.47
FR;18/09/23;1.00000;948.21;998.82
FR;11/09/23;1.00000;943.49;959.06
FR;04/09/23;1.00000;939.5;939.91
FR;28/08/23;1.00000;919.63;910.99
FR;21/08/23;1.00000;919.42;919.03
FR;14/08/23;1.00000;902.77;919.86
FR;07/08/23;1.00000;900.64;896.33
FR;31/07/23;1.00000;886.21;840.89
FR;24/07/23;1.00000;847.77;807.86
FR;17/07/23;1.00000;838.08;803.38
FR;10/07/23;1.00000;819.48;779.17
FR;03/07/23;1.00000;830.35;786.98
FR;26/06/23;1.00000;867.65;810.56
FR;19/06/23;1.00000;869.48;787.66
FR;12/06/23;1.00000;874.03;790.72
FR;05/06/23;1.00000;868.29;779.2
FR;29/05/23;1.00000;872.27;784.53
FR;22/05/23;1.00000;850.77;774.42
FR;15/05/23;1.00000;854.7;770.61
FR;08/05/23;1.00000;868.54;778.92
FR;01/05/23;1.00000;901.02;824.32
FR;24/04/23;1.00000;926.47;859.45
FR;17/04/23;1.00000;943.03;890.87
FR;10/04/23;1.00000;933.12;892.19
FR;03/04/23;1.00000;922.09;898.72
FR;27/03/23;1.00000;909.87;904.52
FR;20/03/23;1.00000;902.63;906.23
FR;13/03/23;1.00000;905.91;922.93
FR;06/03/23;1.00000;880.32;901.03
FR;27/02/23;1.00000;890;899.45
FR;20/02/23;1.00000;897.88;922.82
FR;13/02/23;1.00000;895.22;914.21
FR;06/02/23;1.00000;916.92;963.72
FR;30/01/23;1.00000;919.89;1,010.32
FR;23/01/23;1.00000;892.72;987.82
FR;16/01/23;1.00000;856.4;961.47
FR;09/01/23;1.00000;851.74;973.82
FR;02/01/23;1.00000;707.73;863.01
FR;26/12/22;1.00000;687.97;848.72
FR;19/12/22;1.00000;692.29;843.17
FR;12/12/22;1.00000;719.56;834.27
FR;05/12/22;1.00000;753.33;907.75
FR;28/11/22;1.00000;772.49;941.85
FR;21/11/22;1.00000;794.4;979.13
FR;14/11/22;1.00000;713.3;892.59
FR;07/11/22;1.00000;708.42;917.51
FR;31/10/22;1.00000;702.52;947.37
FR;24/10/22;1.00000;729.51;978.62
FR;17/10/22;1.00000;747.66;991.8
FR;10/10/22;1.00000;678.7;893.79
FR;03/10/22;1.00000;620.12;803.91
FR;26/09/22;1.00000;598.13;773.65
FR;19/09/22;1.00000;604.31;804.63
FR;12/09/22;1.00000;616.17;853.18
FR;05/09/22;1.00000;657.51;874.29
FR;29/08/22;1.00000;791.75;1,014.91
FR;22/08/22;1.00000;784.32;924.23
FR;15/08/22;1.00000;791.52;882.49
FR;08/08/22;1.00000;838.84;923.66
FR;01/08/22;1.00000;846.07;956.09
FR;25/07/22;1.00000;912;1,002.81
FR;18/07/22;1.00000;976.03;1,032.2
FR;11/07/22;1.00000;999.48;1,053.04
FR;04/07/22;1.00000;1,043.97;1,111.17
FR;27/06/22;1.00000;1,047.65;1,166.06
FR;20/06/22;1.00000;1,082.85;1,169.68
FR;13/06/22;1.00000;1,084.49;1,115.36
FR;06/06/22;1.00000;1,059.68;1,025.45
FR;30/05/22;1.00000;944.48;914.27
FR;23/05/22;1.00000;952.16;934.25
FR;16/05/22;1.00000;885.53;956.23
FR;09/05/22;1.00000;863.53;1,010.76
FR;02/05/22;1.00000;810.59;958.78
FR;25/04/22;1.00000;800.5;954.15
FR;11/04/22;1.00000;802.72;907.96
FR;04/04/22;1.00000;835.7;966.77
FR;28/03/22;1.00000;978.83;1,154.64
FR;21/03/22;1.00000;953.41;1,037.18
FR;14/03/22;1.00000;1,044.11;1,174.79
FR;07/03/22;1.00000;882.8;960.17
FR;28/02/22;1.00000;819.82;842.18
FR;21/02/22;1.00000;802.37;811.83
FR;14/02/22;1.00000;792.87;807.18
FR;07/02/22;1.00000;779.83;795.38
FR;31/01/22;1.00000;764.07;782.92
FR;24/01/22;1.00000;746.1;769.25
FR;17/01/22;1.00000;731.12;742.07
FR;10/01/22;1.00000;710.63;714.52
FR;03/01/22;1.00000;666.47;671.48
FR;20/12/21;1.00000;670.86;667.26
FR;13/12/21;1.00000;668.72;662.14
FR;06/12/21;1.00000;670.35;685.61
FR;29/11/21;1.00000;686.1;685.61
FR;22/11/21;1.00000;696.32;687.59
FR;15/11/21;1.00000;691.17;688.96
FR;08/11/21;1.00000;694.16;682
FR;01/11/21;1.00000;691.69;688.11
FR;25/10/21;1.00000;682.67;685.17
FR;18/10/21;1.00000;689.27;689.46
FR;11/10/21;1.00000;669.7;670.4
FR;04/10/21;1.00000;645.43;638.42
FR;27/09/21;1.00000;631.39;612.48
FR;20/09/21;1.00000;633.28;602.35
FR;13/09/21;1.00000;629.92;592.33
FR;06/09/21;1.00000;615.84;582.09
FR;30/08/21;1.00000;616.37;578.53
FR;23/08/21;1.00000;623.48;580.69
FR;16/08/21;1.00000;630.15;585.45
FR;09/08/21;1.00000;631.73;592.51
FR;02/08/21;1.00000;619.28;585.68
FR;26/07/21;1.00000;627.39;591.78
FR;19/07/21;1.00000;628.7;596.37
FR;12/07/21;1.00000;615.41;588.95
FR;05/07/21;1.00000;613.27;589.43
FR;28/06/21;1.00000;598.81;582.26
FR;21/06/21;1.00000;588.75;573.72
FR;14/06/21;1.00000;584.87;564.84
FR;07/06/21;1.00000;582.67;559.4
FR;31/05/21;1.00000;576.01;550.5
FR;24/05/21;1.00000;578.05;550.28
FR;17/05/21;1.00000;578.24;548.27
FR;10/05/21;1.00000;584.32;550.34
FR;03/05/21;1.00000;572.57;538.78
FR;26/04/21;1.00000;576.05;539.77
FR;19/04/21;1.00000;572.29;534.08
FR;12/04/21;1.00000;570.65;532.1
FR;29/03/21;1.00000;569.02;539.18
FR;22/03/21;1.00000;576.77;551.72
FR;15/03/21;1.00000;566.77;549.47
FR;08/03/21;1.00000;550.67;537.4
FR;01/03/21;1.00000;542.54;535.03
FR;22/02/21;1.00000;529.69;525.66
FR;15/02/21;1.00000;512.97;508.89
FR;08/02/21;1.00000;504.22;493.59
FR;01/02/21;1.00000;496.39;485.46
FR;25/01/21;1.00000;496.22;486.37
FR;18/01/21;1.00000;489.98;481.25
FR;11/01/21;1.00000;466.97;462.41
FR;21/12/20;1.00000;440.29;442.11
FR;14/12/20;1.00000;433.8;434.84
FR;07/12/20;1.00000;429.96;429.67
FR;30/11/20;1.00000;424.39;422.83
FR;23/11/20;1.00000;416.43;405.92
FR;16/11/20;1.00000;411.99;401.02
FR;09/11/20;1.00000;408.42;388.22
FR;02/11/20;1.00000;416.17;396.47
FR;26/10/20;1.00000;412.38;390.12
FR;19/10/20;1.00000;425.92;397.39
FR;12/10/20;1.00000;422.2;390.7
FR;05/10/20;1.00000;417.62;387.78
FR;28/09/20;1.00000;415.83;386.45
FR;21/09/20;1.00000;413.74;386.83
FR;14/09/20;1.00000;419.66;398.77
FR;07/09/20;1.00000;419.05;406.73
FR;31/08/20;1.00000;419.45;414.13
FR;24/08/20;1.00000;421.64;421.06
FR;17/08/20;1.00000;418.37;421.49
FR;10/08/20;1.00000;415.38;421.19
FR;03/08/20;1.00000;414.94;420.35
FR;27/07/20;1.00000;430.11;430.42
FR;20/07/20;1.00000;432.42;428.09
FR;13/07/20;1.00000;428.75;425.92
FR;06/07/20;1.00000;416.83;414.1
FR;29/06/20;1.00000;424.47;416.17
FR;22/06/20;1.00000;407.1;404.35
FR;15/06/20;1.00000;402.47;398.52
FR;08/06/20;1.00000;382.56;383.42
FR;01/06/20;1.00000;377.57;378.72
FR;25/05/20;1.00000;365.67;371.61
FR;18/05/20;1.00000;345.53;355.74
FR;11/05/20;1.00000;333.92;358.22
FR;04/05/20;1.00000;333.38;362.82
FR;27/04/20;1.00000;346.31;385.97
FR;20/04/20;1.00000;360.48;401.94
FR;06/04/20;1.00000;382.1;416.77
FR;30/03/20;1.00000;396.02;423.4
FR;23/03/20;1.00000;420.22;438.32
FR;16/03/20;1.00000;479.06;475.25
FR;09/03/20;1.00000;524.48;525.33
FR;02/03/20;1.00000;549.12;550.52
FR;24/02/20;1.00000;549.49;557.55
FR;17/02/20;1.00000;554.32;557.48
FR;10/02/20;1.00000;557.76;559.89
FR;03/02/20;1.00000;572.05;586.17
FR;27/01/20;1.00000;587.28;610.47
FR;20/01/20;1.00000;592.14;623.49
FR;13/01/20;1.00000;598.97;633.27
FR;06/01/20;1.00000;589.11;627.67
FR;16/12/19;1.00000;576.11;604.56
FR;09/12/19;1.00000;575.13;600.78
FR;02/12/19;1.00000;573.57;594
FR;25/11/19;1.00000;566.82;589.32
FR;18/11/19;1.00000;568.52;591.99
FR;11/11/19;1.00000;568.21;592
FR;04/11/19;1.00000;558.18;593.48
FR;28/10/19;1.00000;552.24;589.93
FR;21/10/19;1.00000;556.39;591.1
FR;14/10/19;1.00000;563.46;591.23
FR;07/10/19;1.00000;563.16;595.88
FR;30/09/19;1.00000;567.46;603.2
FR;23/09/19;1.00000;567.52;603.87
FR;16/09/19;1.00000;550.01;582.36
FR;09/09/19;1.00000;539.51;566.11
FR;02/09/19;1.00000;551.62;567.55
FR;26/08/19;1.00000;552.19;566.12
FR;19/08/19;1.00000;553.22;562.81
FR;12/08/19;1.00000;564.68;570.49
FR;05/08/19;1.00000;574.85;581.95
FR;29/07/19;1.00000;574.03;578.27
FR;22/07/19;1.00000;584.53;583.02
FR;15/07/19;1.00000;576.03;576.47
FR;08/07/19;1.00000;551.95;560.38
FR;01/07/19;1.00000;566.78;572.56
FR;24/06/19;1.00000;565.49;564.75
FR;17/06/19;1.00000;571.59;567.96
FR;10/06/19;1.00000;594.59;587.26
FR;03/06/19;1.00000;628.88;618.12
FR;27/05/19;1.00000;637.4;632.4
FR;20/05/19;1.00000;625.05;625.53
FR;13/05/19;1.00000;626.33;624.99
FR;06/05/19;1.00000;625.64;622.41
FR;29/04/19;1.00000;625.65;625.77
FR;15/04/19;1.00000;613.23;615.47
FR;08/04/19;1.00000;596.77;608.57
FR;01/04/19;1.00000;579.24;605.15
FR;25/03/19;1.00000;555.13;607.02
FR;18/03/19;1.00000;546.26;609.88
FR;11/03/19;1.00000;537.57;609.23
FR;04/03/19;1.00000;533.71;607.28
FR;25/02/19;1.00000;524.32;599.52
FR;18/02/19;1.00000;509.77;583.76
FR;11/02/19;1.00000;504.03;575.17
FR;04/02/19;1.00000;504.23;575.34
FR;28/01/19;1.00000;504.9;572.69
FR;21/01/19;1.00000;501.83;564.22
FR;14/01/19;1.00000;492.78;550.66
FR;07/01/19;1.00000;481.42;537.59
FR;17/12/18;1.00000;501.86;577.75
FR;10/12/18;1.00000;504.57;583.12
FR;03/12/18;1.00000;500.66;581.06
FR;26/11/18;1.00000;519.24;603.28
FR;19/11/18;1.00000;524.59;611.75
FR;12/11/18;1.00000;539.02;627.13
FR;05/11/18;1.00000;588.04;652.97
FR;29/10/18;1.00000;589.71;649.55
FR;22/10/18;1.00000;604.83;659.29
FR;15/10/18;1.00000;619.87;668.07
FR;08/10/18;1.00000;619.67;658.6
FR;01/10/18;1.00000;601.97;626.73
FR;24/09/18;1.00000;602.26;620.82
FR;17/09/18;1.00000;607.27;622.61
