Country_Code;Date;Exchange_Rate_To_Euro;Petrol;Diesel
;;;1000L;1000L
IT;15/01/24;1.00000;721.55;796.14
IT;08/01/24;1.00000;725.42;801.08
IT;01/01/24;1.00000;724.1;801.17
IT;25/12/23;1.00000;719.07;802.34
IT;18/12/23;1.00000;719.07;802.34
IT;11/12/23;1.00000;730.68;820.06
IT;04/12/23;1.00000;744.6;836.21
IT;27/11/23;1.00000;751.37;846.05
IT;20/11/23;1.00000;759.86;855.17
IT;13/11/23;1.00000;775.68;877.91
IT;06/11/23;1.00000;791.44;897.12
IT;30/10/23;1.00000;806.72;911.57
IT;23/10/23;1.00000;825.27;926.62
IT;16/10/23;1.00000;844.29;937.76
IT;09/10/23;1.00000;880.36;957.71
IT;02/10/23;1.00000;904.04;966.3
IT;25/09/23;1.00000;912.49;971.32
IT;18/09/23;1.00000;908.72;959.67
IT;11/09/23;1.00000;886.02;920.88
IT;04/09/23;1.00000;873.62;903.59
IT;28/08/23;1.00000;868.09;896.82
IT;21/08/23;1.00000;866.81;895.17
IT;14/08/23;1.00000;860.99;880.72
IT;07/08/23;1.00000;852.94;855.07
IT;31/07/23;1.00000;827.3;813.83
IT;24/07/23;1.00000;799.5;783.9
IT;17/07/23;1.00000;795.85;778.72
IT;10/07/23;1.00000;783.77;762.74
IT;03/07/23;1.00000;785.12;763.76
IT;26/06/23;1.00000;789.99;768.11
IT;19/06/23;1.00000;780.59;757.48
IT;12/06/23;1.00000;772.78;750.17
IT;05/06/23;1.00000;765.23;744.44
IT;29/05/23;1.00000;762.15;745.14
IT;22/05/23;1.00000;753.19;735.33
IT;15/05/23;1.00000;756.52;738.45
IT;08/05/23;1.00000;775.5;759.53
IT;01/05/23;1.00000;794.17;784.92
IT;24/04/23;1.00000;810.9;813.43
IT;17/04/23;1.00000;817.26;830.54
IT;10/04/23;1.00000;808.71;831.14
IT;03/04/23;1.00000;794.67;830.69
IT;27/03/23;1.00000;788.7;858.56
IT;20/03/23;1.00000;792.37;859.49
IT;13/03/23;1.00000;796.13;868.32
IT;06/03/23;1.00000;790.32;865.44
IT;27/02/23;1.00000;793.28;875.8
IT;20/02/23;1.00000;796.2;887.99
IT;13/02/23;1.00000;795.98;901.59
IT;06/02/23;1.00000;806.33;937.55
IT;30/01/23;1.00000;805.46;950.08
IT;23/01/23;1.00000;771.17;919.57
IT;16/01/23;1.00000;758.14;910.21
IT;09/01/23;1.00000;756.85;913.85
IT;02/01/23;1.00000;769.21;932.47
IT;26/12/22;1.00000;753.75;917.66
IT;19/12/22;1.00000;784.68;940.09
IT;12/12/22;1.00000;816.35;983.49
IT;05/12/22;1.00000;906.39;1,079.06
IT;28/11/22;1.00000;882.09;1,065.33
IT;21/11/22;1.00000;912.67;1,116.14
IT;14/11/22;1.00000;923.18;1,151.01
IT;07/11/22;1.00000;904.99;1,156.01
IT;31/10/22;1.00000;896.8;1,161.73
IT;24/10/22;1.00000;907.86;1,173.65
IT;17/10/22;1.00000;913.07;1,175.77
IT;10/10/22;1.00000;882.08;1,098.98
IT;03/10/22;1.00000;859.97;1,057.46
IT;26/09/22;1.00000;879.08;1,076.64
IT;19/09/22;1.00000;908.07;1,110.54
