Country_Code;Date;Exchange_Rate_To_Euro;Petrol;Diesel
;;;1000L;1000L
NL;15/01/24;1.00000;782.24;912.94
NL;08/01/24;1.00000;776.45;903.02
NL;01/01/24;1.00000;769.02;893.11
NL;25/12/23;1.00000;763.23;889.8
NL;18/12/23;1.00000;762.4;892.28
NL;11/12/23;1.00000;780.59;912.11
NL;04/12/23;1.00000;802.07;932.77
NL;27/11/23;1.00000;815.3;947.65
NL;20/11/23;1.00000;830.17;960.05
NL;13/11/23;1.00000;853.31;988.97
NL;06/11/23;1.00000;863.23;1,012.94
NL;30/10/23;1.00000;863.23;1,020.38
NL;23/10/23;1.00000;878.93;1,038.56
NL;16/10/23;1.00000;881.41;1,036.08
NL;09/10/23;1.00000;903.73;1,048.48
NL;02/10/23;1.00000;941.74;1,075.75
NL;25/09/23;1.00000;962.4;1,088.15
NL;18/09/23;1.00000;970.67;1,093.11
NL;11/09/23;1.00000;942.57;1,033.6
NL;04/09/23;1.00000;944.22;1,011.29
NL;28/08/23;1.00000;924.39;983.19
NL;21/08/23;1.00000;921.91;980.71
NL;14/08/23;1.00000;921.91;980.71
NL;07/08/23;1.00000;913.64;963.35
NL;31/07/23;1.00000;898.77;916.25
NL;24/07/23;1.00000;992.53;860.87
NL;17/07/23;1.00000;980.96;849.3
NL;10/07/23;1.00000;970.22;838.56
NL;03/07/23;1.00000;974.35;833.6
NL;26/06/23;1.00000;852.03;844.79
NL;19/06/23;1.00000;852.86;835.7
NL;12/06/23;1.00000;852.86;829.91
NL;05/06/23;1.00000;837.16;815.86
NL;29/05/23;1.00000;844.6;821.65
NL;22/05/23;1.00000;834.68;819.17
NL;15/05/23;1.00000;830.55;815.04
NL;08/05/23;1.00000;821.46;806.77
NL;01/05/23;1.00000;846.25;835.7
NL;24/04/23;1.00000;856.99;860.49
NL;17/04/23;1.00000;893.36;897.68
NL;10/04/23;1.00000;895.84;913.38
NL;03/04/23;1.00000;863.6;905.94
NL;27/03/23;1.00000;828.89;907.6
NL;20/03/23;1.00000;812.36;891.9
NL;13/03/23;1.00000;854.51;939.83
NL;06/03/23;1.00000;853.69;958.84
NL;27/02/23;1.00000;830.55;929.91
NL;20/02/23;1.00000;842.12;946.44
NL;13/02/23;1.00000;842.94;965.45
NL;06/02/23;1.00000;857.82;1,019.17
NL;30/01/23;1.00000;881.79;1,077.85
NL;23/01/23;1.00000;861.12;1,048.92
NL;16/01/23;1.00000;839.64;1,035.7
NL;09/01/23;1.00000;831.37;1,040.66
NL;02/01/23;1.00000;824.76;1,046.44
NL;26/12/22;1.00000;793.36;1,024.13
