Country_Code;Date;Exchange_Rate_To_Euro;Petrol;Diesel
;;;1000L;1000L
PL;15/01/24;0.22923;767.98;830.51
PL;08/01/24;0.23007;776.63;839.88
PL;01/01/24;0.23044;783.09;845.11
PL;25/12/23;0.23031;798.19;868.24
PL;18/12/23;0.23015;797.63;867.64
PL;11/12/23;0.23093;810.27;878.74
PL;04/12/23;0.23045;817.53;887.27
PL;27/11/23;0.22941;819.78;890.67
PL;20/11/23;0.22889;824.59;894.79
PL;13/11/23;0.22584;817.92;888.89
PL;06/11/23;0.22386;812.02;868.59
PL;30/10/23;0.22439;789.09;824.69
PL;23/10/23;0.22427;733.26;775.88
PL;16/10/23;0.22355;720.14;766.25
PL;09/10/23;0.21835;704.46;747.7
PL;02/10/23;0.21681;693.85;731.17
PL;25/09/23;0.21790;697.26;733.53
PL;18/09/23;0.21560;715.66;739.71
PL;11/09/23;0.21534;764.13;773.97
PL;04/09/23;0.22390;829.81;831.06
PL;28/08/23;0.22354;827.3;830.58
PL;21/08/23;0.22329;816.9;818.98
PL;14/08/23;0.22525;820.57;823.82
PL;07/08/23;0.22656;824.79;827.98
PL;31/07/23;0.22691;821.56;822.89
PL;24/07/23;0.22492;799.28;799.58
PL;17/07/23;0.22468;795.83;798.28
PL;10/07/23;0.22468;789.38;785.51
PL;03/07/23;0.22530;793.13;784.99
PL;26/06/23;0.22541;805.99;793.83
PL;19/06/23;0.22437;803.09;768.36
PL;12/06/23;0.22525;808.33;778.57
PL;05/06/23;0.22354;804.01;778.09
PL;29/05/23;0.22124;796.95;759.08
PL;22/05/23;0.22157;791.83;755.24
PL;15/05/23;0.22184;794.55;765.83
PL;08/05/23;0.21885;795.89;781.52
PL;01/05/23;0.21827;811.26;807.34
PL;24/04/23;0.21713;823.18;826.02
PL;17/04/23;0.21604;830.85;848.64
PL;10/04/23;0.21339;816.2;843.05
PL;03/04/23;0.21384;810.04;845.58
PL;27/03/23;0.21342;787.92;847.09
PL;20/03/23;0.21256;793.91;870.8
PL;13/03/23;0.21302;802.05;904.86
PL;06/03/23;0.21236;798.8;903.46
PL;27/02/23;0.21204;798.43;917.8
PL;20/02/23;0.21081;798.2;943.07
