Country_Code;Date;Exchange_Rate_To_Euro;Petrol;Diesel
;;;1000L;1000L
RO;15/01/24;0.20103;738.68;836.32
RO;08/01/24;0.20109;747.01;844.24
RO;01/01/24;0.20098;759.05;855.3
RO;25/12/23;0.20117;760.35;855.62
RO;18/12/23;0.20126;761.75;857.66
RO;11/12/23;0.20118;763.33;869.34
RO;04/12/23;0.20130;772.25;896.28
RO;27/11/23;0.20117;773.39;897.5
RO;20/11/23;0.20112;780.96;904.75
RO;13/11/23;0.20117;798.3;920.6
RO;06/11/23;0.20124;820;944.95
RO;30/10/23;0.20145;824.54;957.34
RO;23/10/23;0.20120;830.72;960.22
RO;16/10/23;0.20141;834.09;957.95
RO;09/10/23;0.20135;845.54;968.14
RO;02/10/23;0.20101;868.39;971.34
RO;25/09/23;0.20129;875.51;960.24
RO;18/09/23;0.20125;866.45;939.91
RO;11/09/23;0.20147;858.62;930.15
RO;04/09/23;0.20218;856.45;921.67
RO;28/08/23;0.20259;858.79;916.88
RO;21/08/23;0.20240;858.7;912.89
RO;14/08/23;0.20236;841.15;893.36
RO;07/08/23;0.20206;813.22;855.3
RO;31/07/23;0.20264;802.44;828.79
RO;24/07/23;0.20309;780.62;807.57
RO;17/07/23;0.20237;777.82;804.57
RO;10/07/23;0.20206;777.03;803.44
RO;03/07/23;0.20189;776.23;803
RO;26/06/23;0.20177;780.18;804.65
RO;19/06/23;0.20166;793.49;808.7
RO;12/06/23;0.20174;788.05;804.68
RO;05/06/23;0.20140;769.54;789.95
RO;29/05/23;0.20161;764.04;789.93
RO;22/05/23;0.20106;753.79;785.03
RO;15/05/23;0.20253;781.06;824.48
RO;08/05/23;0.20306;781.73;824.15
RO;01/05/23;0.20284;766.21;804.69
RO;24/04/23;0.20285;761.31;814.96
RO;17/04/23;0.20233;831.36;913.63
RO;10/04/23;0.20256;827.21;922.26
RO;03/04/23;0.20256;775.73;875.66
RO;27/03/23;0.20241;775.14;887.56
RO;20/03/23;0.20312;775.93;904.64
RO;13/03/23;0.20338;813.91;931.78
RO;06/03/23;0.20323;787.45;912.42
RO;27/02/23;0.20326;772.89;899.12
RO;20/02/23;0.20333;773.87;909.5
RO;13/02/23;0.20395;766.89;915.24
RO;06/02/23;0.20385;766.64;946.82
RO;30/01/23;0.20385;765.06;959.37
RO;23/01/23;0.20324;747.86;939.87
RO;16/01/23;0.20279;721.67;918.91
RO;09/01/23;0.20303;712.7;907.13
RO;02/01/23;0.20243;697.05;930.45
RO;26/12/22;0.20385;703.41;934.48
RO;19/12/22;0.20364;732.16;963.25
RO;12/12/22;0.20277;745.19;979.34
RO;05/12/22;0.20319;850.47;1,089.96
RO;28/11/22;0.20306;882.67;1,128.72
RO;21/11/22;0.20238;910.44;1,158.46
RO;14/11/22;0.20390;930.25;1,186.68
RO;07/11/22;0.20469;921.85;1,182.48
RO;31/10/22;0.20349;909.56;1,163.7
RO;24/10/22;0.20355;903.48;1,161.94
RO;17/10/22;0.20255;883.13;1,132.64
RO;10/10/22;0.20243;854.6;1,093.56
RO;03/10/22;0.20211;847.03;1,079.18
RO;26/09/22;0.20236;867.96;1,098.48
RO;19/09/22;0.20284;907.15;1,122.31
RO;12/09/22;0.20352;932.55;1,176.1
RO;05/09/22;0.20748;985.31;1,179.75
RO;29/08/22;0.20534;1,011.61;1,153.1
RO;22/08/22;0.20470;1,003.17;1,128.56
RO;15/08/22;0.20471;1,015;1,126.04
RO;08/08/22;0.20340;1,002.47;1,139.84
RO;01/08/22;0.20291;1,023.86;1,162.05
RO;25/07/22;0.20268;1,028.91;1,166.92
RO;18/07/22;0.20247;1,053.33;1,188.64
RO;11/07/22;0.20231;1,063.98;1,187.83
RO;04/07/22;0.20227;1,068.02;1,189.23
RO;27/06/22;0.20227;1,073.61;1,194.26
RO;20/06/22;0.20221;1,072.63;1,193.16
RO;13/06/22;0.20219;1,067.94;1,183.58
RO;06/06/22;0.20233;1,027.18;1,148.63
RO;30/05/22;0.20226;1,006.76;1,130.06
RO;23/05/22;0.20214;987.57;1,123.52
RO;16/05/22;0.20215;971.27;1,126.03
RO;09/05/22;0.20215;950.45;1,118.72
RO;02/05/22;0.20211;917.83;1,088.32
RO;25/04/22;0.20220;908.55;1,077.17
RO;11/04/22;0.20244;929.13;1,080.89
RO;04/04/22;0.20230;932.04;1,072.14
RO;28/03/22;0.20209;958.42;1,075.96
RO;21/03/22;0.20214;972.1;1,022.05
RO;14/03/22;0.20206;971.7;1,021.64
RO;07/03/22;0.20204;863.13;910.01
RO;28/02/22;0.20209;789.4;824.26
RO;21/02/22;0.20223;775.13;800.95
RO;14/02/22;0.20220;763.81;787.19
RO;07/02/22;0.20218;760.78;780.5
RO;31/01/22;0.20212;726.33;750.04
RO;24/01/22;0.20221;715.68;736.93
RO;17/01/22;0.20225;697.17;721.49
RO;10/01/22;0.20223;681.21;704.6
RO;03/01/22;0.20209;684.51;703.46
RO;20/12/21;0.20208;654.48;682.53
RO;13/12/21;0.20204;652.22;678.66
RO;06/12/21;0.20218;653.47;687.34
RO;29/11/21;0.20203;676.66;716.99
RO;22/11/21;0.20204;682.71;717.34
RO;15/11/21;0.20204;686.25;726.41
RO;08/11/21;0.20206;703.61;727.67
RO;01/11/21;0.20205;708.74;737.69
RO;25/10/21;0.20212;704.27;730.32
RO;18/10/21;0.20206;703.59;716.24
RO;11/10/21;0.20205;687.3;697.99
RO;04/10/21;0.20211;666.81;676.71
RO;27/09/21;0.20204;650.92;655.97
RO;20/09/21;0.20205;656.65;650.87
RO;13/09/21;0.20221;645.5;645.01
RO;06/09/21;0.20211;636.88;641.37
RO;30/08/21;0.20266;622.26;625.94
RO;23/08/21;0.20286;625.52;625.93
RO;16/08/21;0.20351;639.36;636.91
RO;09/08/21;0.20353;646.28;643.24
RO;02/08/21;0.20333;648.41;648.14
RO;26/07/21;0.20316;636.91;646.46
RO;19/07/21;0.20297;631.26;643.01
RO;12/07/21;0.20292;622.33;637.36
RO;05/07/21;0.20300;614.35;631.05
RO;28/06/21;0.20297;604.05;618.15
RO;21/06/21;0.20310;597.82;610.25
RO;14/06/21;0.20324;590.17;600.23
RO;07/06/21;0.20311;591.49;596
RO;31/05/21;0.20327;572.69;582.95
RO;24/05/21;0.20303;574.29;583.5
RO;17/05/21;0.20301;576.71;584.41
RO;10/05/21;0.20305;576.34;583.65
RO;03/05/21;0.20297;566.66;566.43
RO;26/04/21;0.20312;567.42;575.11
RO;19/04/21;0.20300;571.4;576.9
RO;12/04/21;0.20324;560.81;566.58
RO;29/03/21;0.20398;551.15;565.62
RO;22/03/21;0.20466;565.91;584.96
RO;15/03/21;0.20473;556.66;583.72
RO;08/03/21;0.20470;543.16;574.16
RO;01/03/21;0.20513;537.63;568.84
RO;22/02/21;0.20509;526.86;557.57
RO;15/02/21;0.20512;512.51;543.3
RO;08/02/21;0.20514;495.42;526.65
RO;01/02/21;0.20519;484.06;515.89
RO;25/01/21;0.20515;484.71;517.14
RO;18/01/21;0.20516;473.2;507.81
RO;11/01/21;0.20532;463.49;502.52
RO;21/12/20;0.20575;454.14;486.87
RO;14/12/20;0.20531;475.92;480.84
RO;07/12/20;0.20519;435.88;463.53
RO;30/11/20;0.20520;432.23;453.05
RO;23/11/20;0.20517;433.12;447.59
RO;16/11/20;0.20522;419.1;433.78
RO;09/11/20;0.20553;409.06;421.93
RO;02/11/20;0.20545;411.36;418.72
RO;26/10/20;0.20514;424.11;431.06
RO;19/10/20;0.20505;421.28;428.15
RO;12/10/20;0.20523;420.97;426.23
RO;05/10/20;0.20517;404.12;417.72
RO;28/09/20;0.20516;400.02;407.68
RO;21/09/20;0.20576;400.05;407.61
RO;14/09/20;0.20585;401.8;412.67
RO;07/09/20;0.20595;406.67;432
RO;31/08/20;0.20662;407.55;438.3
RO;24/08/20;0.20661;403.26;440.75
RO;17/08/20;0.20686;417.74;454.53
RO;10/08/20;0.20678;417.55;454.03
RO;03/08/20;0.20680;412.42;449.3
RO;27/07/20;0.20703;423.61;459.91
RO;20/07/20;0.20653;420.07;461.51
RO;13/07/20;0.20643;413.9;456.07
RO;06/07/20;0.20672;407.1;454.83
RO;29/06/20;0.20644;401.6;449.51
RO;22/06/20;0.20652;394.32;443.8
RO;15/06/20;0.20689;384.6;443.73
RO;08/06/20;0.20679;368.36;431.15
RO;01/06/20;0.20645;367.77;430.46
RO;25/05/20;0.20653;367.82;430.53
RO;18/05/20;0.20666;367.81;430.69
RO;11/05/20;0.20703;368.43;431.46
RO;04/05/20;0.20675;369.23;432.67
RO;27/04/20;0.20674;394.87;457.97
RO;20/04/20;0.20671;409.83;472.01
RO;06/04/20;0.20689;417.42;477.77
RO;30/03/20;0.20713;419.54;479.08
RO;23/03/20;0.20627;428.76;487.69
RO;16/03/20;0.20686;458.12;517.45
RO;09/03/20;0.20758;502.53;559.86
RO;02/03/20;0.20787;510.27;564.12
RO;24/02/20;0.20806;525.21;577.59
RO;17/02/20;0.20935;521.31;573.52
RO;10/02/20;0.20981;528.67;581.6
RO;03/02/20;0.20926;532.87;594.22
RO;27/01/20;0.20917;541.6;604.31
RO;20/01/20;0.20923;547.89;613.92
RO;13/01/20;0.20928;551.58;616.75
RO;06/01/20;0.20945;541.84;597.19
RO;16/12/19;0.20924;535.64;594.54
RO;09/12/19;0.20925;544.25;601.09
RO;02/12/19;0.20923;548.72;605.49
RO;25/11/19;0.20954;543.23;600.61
RO;18/11/19;0.20945;541.69;605.48
RO;11/11/19;0.20989;538.98;613.17
RO;04/11/19;0.21034;534.84;613.7
RO;28/10/19;0.21027;530.22;607.66
RO;21/10/19;0.21015;535.03;591.01
RO;14/10/19;0.21032;544.44;612.64
RO;07/10/19;0.21064;551.16;619.65
RO;30/09/19;0.21054;553.97;622.18
RO;23/09/19;0.21054;545;611.83
RO;16/09/19;0.21120;532.24;599.3
RO;09/09/19;0.21143;528.99;595.72
RO;02/09/19;0.21169;540.6;594.17
RO;26/08/19;0.21152;540.23;581.04
RO;19/08/19;0.21134;549.62;580.68
RO;12/08/19;0.21164;562.15;591.47
RO;05/08/19;0.21130;573.61;612.32
RO;29/07/19;0.21147;570.45;609.07
RO;22/07/19;0.21175;564.08;604.21
RO;15/07/19;0.21127;562.86;603.53
RO;08/07/19;0.21186;551.38;597.53
RO;01/07/19;0.21130;549.17;599.47
RO;24/06/19;0.21195;547.07;597.79
RO;17/06/19;0.21151;558.37;609.74
RO;10/06/19;0.21188;565.01;616.05
RO;03/06/19;0.21107;585.54;637.5
RO;27/05/19;0.21007;595.43;645.94
RO;20/05/19;0.21010;596.25;652.5
RO;13/05/19;0.21006;596.95;650.25
RO;06/05/19;0.21028;598.66;652.35
RO;29/04/19;0.21045;593.94;650.17
RO;15/04/19;0.21000;581.4;641.04
RO;08/04/19;0.21047;569.53;633.48
RO;01/04/19;0.20997;554.47;627.36
RO;25/03/19;0.21029;547.33;633.12
RO;18/03/19;0.21034;536.74;620.13
RO;11/03/19;0.21057;525.76;619.77
RO;04/03/19;0.21092;525.33;621.92
