Country_Code;Date;Exchange_Rate_To_Euro;Petrol;Diesel
;;;1000L;1000L
SE;15/01/24;0.08867;743.64;926.12
SE;08/01/24;0.08921;739.77;913.3
SE;01/01/24;0.09012;731.98;912.04
SE;25/12/23;0.09045;763.67;1,269.71
SE;18/12/23;0.08973;755.75;1,248.11
SE;11/12/23;0.08852;738.43;1,229.48
SE;04/12/23;0.08833;775.94;1,262.56
SE;27/11/23;0.08756;766.69;1,267.33
SE;20/11/23;0.08751;764.4;1,263.87
SE;13/11/23;0.08613;810.37;1,291.49
SE;06/11/23;0.08578;843.3;1,344.08
SE;30/10/23;0.08470;865.22;1,316.06
SE;23/10/23;0.08542;856.06;1,359.09
SE;16/10/23;0.08667;826.49;1,373.45
SE;09/10/23;0.08614;839.76;1,359.81
SE;02/10/23;0.08633;895.88;1,420.51
SE;25/09/23;0.08527;925;1,432.93
SE;18/09/23;0.08342;911.81;1,412.82
SE;11/09/23;0.08418;907.82;1,380.31
SE;04/09/23;0.08403;907.32;1,313.69
SE;28/08/23;0.08403;925.68;1,338.27
SE;21/08/23;0.08397;904.25;1,312.48
SE;14/08/23;0.08446;883.24;1,299.19
SE;07/08/23;0.08574;871.34;1,301.18
SE;31/07/23;0.08628;888.08;1,260.3
SE;24/07/23;0.08658;833.87;1,197.61
SE;17/07/23;0.08705;817.91;1,198.38
SE;10/07/23;0.08421;791.24;1,170.9
SE;03/07/23;0.08451;785.57;1,151.95
SE;26/06/23;0.08560;800.55;1,169.94
SE;19/06/23;0.08551;823.41;1,161.51
SE;12/06/23;0.08607;842.28;1,159.38
SE;05/06/23;0.08590;820.1;1,138.96
SE;29/05/23;0.08624;816.21;1,126.07
SE;22/05/23;0.08790;813.92;1,137.41
SE;15/05/23;0.08857;795.82;1,113.91
SE;08/05/23;0.08928;787.38;1,125.72
SE;01/05/23;0.08809;831.43;1,125.54
SE;24/04/23;0.08843;838.66;1,169.32
SE;17/04/23;0.08837;894.39;1,209.14
SE;10/04/23;0.08782;886.62;1,214.02
SE;03/04/23;0.08862;895.71;1,226.84
SE;27/03/23;0.08919;861.18;1,213.11
SE;20/03/23;0.08963;840.45;1,227.69
SE;13/03/23;0.08742;859.76;1,235.13
SE;06/03/23;0.08961;865.99;1,295.73
SE;27/02/23;0.09042;851.21;1,265.43
SE;20/02/23;0.09040;858.04;1,272.3
SE;13/02/23;0.08965;859.63;1,279.98
SE;06/02/23;0.08799;832.82;1,261.31
SE;30/01/23;0.08879;884.78;1,348.87
SE;23/01/23;0.08994;882.04;1,398.47
SE;16/01/23;0.08871;844.85;1,366.92
SE;09/01/23;0.08932;799.18;1,330.67
SE;02/01/23;0.08956;830.39;1,357.28
SE;26/12/22;0.09005;774.24;1,297.44
SE;19/12/22;0.09086;755.13;1,310.18
SE;12/12/22;0.09168;752.22;1,266.45
SE;05/12/22;0.09180;843.32;1,384.67
SE;28/11/22;0.09177;839.69;1,376.87
SE;21/11/22;0.09101;850.36;1,387.95
SE;14/11/22;0.09284;943.84;1,484.63
SE;07/11/22;0.09232;977.33;1,600.98
SE;31/10/22;0.09173;952.79;1,627.98
SE;24/10/22;0.09026;970.51;1,603.84
SE;17/10/22;0.09100;1,144.09;1,647.07
SE;10/10/22;0.09132;1,134.96;1,644.48
SE;03/10/22;0.09196;1,017.52;1,454.75
SE;26/09/22;0.09151;938.55;1,493.19
SE;19/09/22;0.09260;950.88;1,438.91
SE;12/09/22;0.09401;939.61;1,555.88
SE;05/09/22;0.09321;968.29;1,566.22
SE;29/08/22;0.09409;1,020.32;1,666.69
SE;22/08/22;0.09390;1,032.41;1,600.15
SE;15/08/22;0.09526;1,026.94;1,527.15
SE;08/08/22;0.09648;1,016.73;1,503.14
SE;01/08/22;0.09646;1,133.85;1,612.46
SE;25/07/22;0.09618;1,112.83;1,610.73
SE;18/07/22;0.09500;1,226.16;1,675.62
SE;11/07/22;0.09351;1,219.34;1,635.71
SE;04/07/22;0.09289;1,223.8;1,651.67
SE;27/06/22;0.09371;1,282.47;1,721.85
SE;20/06/22;0.09401;1,264.28;1,746.2
SE;13/06/22;0.09420;1,318.16;1,712.81
SE;06/06/22;0.09568;1,369.92;1,696.44
SE;30/05/22;0.09508;1,265.41;1,537.17
SE;23/05/22;0.09531;1,200.1;1,471.47
SE;16/05/22;0.09526;1,192.4;1,523.44
SE;09/05/22;0.09450;1,104.76;1,527.83
SE;02/05/22;0.09612;1,120.16;1,626.38
SE;25/04/22;0.09664;964.24;1,468.09
SE;11/04/22;0.09697;939.42;1,405.32
SE;04/04/22;0.09629;976.8;1,494.09
SE;28/03/22;0.09595;1,011.2;1,557.02
SE;21/03/22;0.09607;986.86;1,524.33
SE;14/03/22;0.09491;987.09;1,429.43
SE;07/03/22;0.09210;1,010.27;1,478.38
SE;28/02/22;0.09429;869.13;1,248.94
SE;21/02/22;0.09387;820.61;1,180.61
SE;14/02/22;0.09420;820.81;1,187.21
SE;07/02/22;0.09571;809.47;1,190.47
SE;31/01/22;0.09534;855.72;1,114.58
SE;24/01/22;0.09520;818.56;1,063.5
SE;17/01/22;0.09704;812.85;1,084.02
SE;10/01/22;0.09705;809.99;1,076.38
SE;03/01/22;0.09713;809.46;1,051.19
SE;20/12/21;0.09708;732.78;1,035.8
SE;13/12/21;0.09774;727.32;1,038.35
SE;06/12/21;0.09738;724.64;1,034.53
SE;29/11/21;0.09718;776.07;1,038.28
SE;22/11/21;0.09874;788.51;1,056.81
SE;15/11/21;0.09993;817.87;1,083.18
SE;08/11/21;0.10041;813.87;1,084.41
SE;01/11/21;0.10087;815.66;1,110.34
SE;25/10/21;0.10000;807.08;1,100.66
SE;18/10/21;0.09963;792.83;1,095.67
SE;11/10/21;0.09885;781.35;1,082.79
SE;04/10/21;0.09859;755.12;1,047.07
SE;27/09/21;0.09829;708.68;1,000.63
SE;20/09/21;0.09787;701.52;974.6
SE;13/09/21;0.09818;706.23;965.41
SE;06/09/21;0.09837;707.27;959.87
SE;30/08/21;0.09822;702.58;959.03
SE;23/08/21;0.09749;634.73;892.51
SE;16/08/21;0.09803;660.75;911.02
SE;09/08/21;0.09787;668.21;889.41
SE;02/08/21;0.09813;674.34;897.92
SE;26/07/21;0.09799;660.01;851.93
SE;19/07/21;0.09753;649.57;842.14
SE;12/07/21;0.09803;652.99;855.49
SE;05/07/21;0.09859;673.16;851.89
SE;28/06/21;0.09875;649.15;866.17
SE;21/06/21;0.09788;626.55;839.86
SE;14/06/21;0.09906;623.89;833.13
SE;07/06/21;0.09945;613.43;822.93
SE;31/05/21;0.09880;604.7;812.44
SE;24/05/21;0.09836;588.98;796.72
SE;17/05/21;0.09847;604.32;809.94
SE;10/05/21;0.09878;609.22;809.79
SE;03/05/21;0.09823;594.97;791.68
SE;26/04/21;0.09871;589.67;775.64
SE;19/04/21;0.09902;602.72;786.84
SE;12/04/21;0.09806;585.1;774.73
SE;29/03/21;0.09784;575.88;781.75
SE;22/03/21;0.09844;580.37;787.11
SE;15/03/21;0.09818;600.59;804.04
SE;08/03/21;0.09823;584.68;799.06
SE;01/03/21;0.09820;562.74;774.95
SE;22/02/21;0.09969;549.01;778.78
SE;15/02/21;0.09957;542.94;777.45
SE;08/02/21;0.09887;531.44;758.13
SE;01/02/21;0.09840;500.52;729.05
SE;25/01/21;0.09938;505.5;727.56
SE;18/01/21;0.09848;505.28;725.97
SE;11/01/21;0.09925;493.95;716.5
SE;21/12/20;0.09870;462.19;660.24
SE;14/12/20;0.09811;461.59;661.5
SE;07/12/20;0.09802;464.33;648.23
SE;30/11/20;0.09825;461.18;650.7
SE;23/11/20;0.09790;450.44;635.99
SE;16/11/20;0.09752;427.18;622.63
SE;09/11/20;0.09807;414.97;612.13
SE;02/11/20;0.09650;407.64;598.8
SE;26/10/20;0.09664;435.76;609.57
SE;19/10/20;0.09655;455.48;619.23
SE;12/10/20;0.09622;464.09;616.58
SE;05/10/20;0.09556;456.19;601.83
SE;28/09/20;0.09446;454.64;598.99
SE;21/09/20;0.09610;464.39;613.93
SE;14/09/20;0.09599;443.87;600.08
SE;07/09/20;0.09644;459.39;617.64
SE;31/08/20;0.09719;461.1;631.32
SE;24/08/20;0.09644;459.39;627.67
SE;17/08/20;0.09699;460.97;639.13
SE;10/08/20;0.09727;459.22;652.68
SE;03/08/20;0.09713;449.45;643.32
SE;27/07/20;0.09739;465.79;657.15
SE;20/07/20;0.09708;463.43;660.7
SE;13/07/20;0.09631;474.55;661.32
SE;06/07/20;0.09538;466.45;657.36
SE;29/06/20;0.09544;452.93;639.39
SE;22/06/20;0.09476;457.01;652.16
SE;15/06/20;0.09488;430.1;618.36
SE;08/06/20;0.09617;426.42;621.01
SE;01/06/20;0.09557;397.06;602.81
SE;25/05/20;0.09480;378.97;591.93
SE;18/05/20;0.09425;347.08;563.48
SE;11/05/20;0.09434;343.8;563.36
SE;04/05/20;0.09250;321.9;550.56
SE;27/04/20;0.09196;320.47;571.92
SE;20/04/20;0.09206;328.05;584.43
SE;06/04/20;0.09108;327.12;604.39
SE;30/03/20;0.09060;338.36;609.37
SE;23/03/20;0.09032;341.65;606.85
SE;16/03/20;0.09174;461.9;687.97
SE;09/03/20;0.09328;516.8;730.38
SE;02/03/20;0.09428;546.79;755.35
SE;24/02/20;0.09449;572.85;775.89
SE;17/02/20;0.09495;551.01;765.29
SE;10/02/20;0.09458;543.83;754.64
SE;03/02/20;0.09363;553.01;756.15
SE;27/01/20;0.09452;572.07;793.79
SE;20/01/20;0.09474;585.46;810.65
SE;13/01/20;0.09470;592.45;824.36
SE;06/01/20;0.09496;592.79;821.85
SE;16/12/19;0.09596;561.41;783.58
SE;09/12/19;0.09485;558.69;773.13
SE;02/12/19;0.09489;564.05;776.23
SE;25/11/19;0.09420;565.06;771.18
SE;18/11/19;0.09381;559.33;774.94
SE;11/11/19;0.09338;555.24;773.69
SE;04/11/19;0.09343;554.16;765.76
SE;28/10/19;0.09302;541.1;772.1
SE;21/10/19;0.09319;541.99;774.15
SE;14/10/19;0.09215;553.93;767.57
SE;07/10/19;0.09182;557.32;767.78
SE;30/09/19;0.09349;561.51;780.45
SE;23/09/19;0.09333;560.39;787.91
SE;16/09/19;0.09372;551.76;787.56
SE;09/09/19;0.09381;549.22;770.25
SE;02/09/19;0.09305;551.76;753.5
SE;26/08/19;0.09301;551.01;753.19
SE;19/08/19;0.09322;559.14;749.85
SE;12/08/19;0.09318;567.84;751.01
SE;05/08/19;0.09293;584.91;762.39
SE;29/07/19;0.09454;595.03;746.84
SE;22/07/19;0.09484;585.53;743.88
SE;15/07/19;0.09473;596.21;754.38
SE;08/07/19;0.09436;586.36;743.92
SE;01/07/19;0.09483;585.47;755.19
SE;24/06/19;0.09427;574.26;765.07
SE;17/06/19;0.09390;572.91;744.57
SE;10/06/19;0.09394;576.29;745.3
SE;03/06/19;0.09418;631.2;774.13
SE;27/05/19;0.09333;625.87;780.43
SE;20/05/19;0.09288;636.52;803.4
SE;13/05/19;0.09232;604.01;783.7
SE;06/05/19;0.09323;622.91;787.9
SE;29/04/19;0.09424;626.39;796.03
SE;15/04/19;0.09559;614.83;783.47
SE;08/04/19;0.09585;598.86;778.69
SE;01/04/19;0.09597;574.86;769.57
SE;25/03/19;0.09574;566.13;773.24
SE;18/03/19;0.09556;528.24;772.27
SE;11/03/19;0.09452;522.15;769.71
SE;04/03/19;0.09475;511;766.07
SE;25/02/19;0.09452;517.13;770.23
SE;18/02/19;0.09552;514.27;764.63
SE;11/02/19;0.09537;485.27;737.81
SE;04/02/19;0.09605;487.82;737.94
